"locus","chr","K","t_process_locus","t_run_univ"
1,1,103,10.2264058589935,0.101433038711548
2,1,125,8.0247631072998,0.000451087951660156
3,1,189,13.9981122016907,0.00673508644104004
4,1,212,7.97260117530823,0.00252890586853027
5,1,NA,14.5790228843689,5.96046447753906e-06
6,1,262,22.5561950206757,0.0101969242095947
7,1,307,17.8741860389709,0.00552201271057129
8,1,280,22.7377109527588,0.00452804565429688
9,1,444,29.0187351703644,0.00553202629089355
10,1,261,19.3464050292969,0.0011601448059082
11,1,335,17.6212441921234,0.000761985778808594
12,1,258,17.5129270553589,0.000814914703369141
13,1,257,15.3154518604279,0.00419902801513672
14,1,290,23.1603629589081,0.00227594375610352
15,1,379,31.2007420063019,0.000826120376586914
16,1,442,32.6485180854797,0.00271892547607422
17,1,207,19.6693000793457,0.00208115577697754
18,1,155,5.54969501495361,0.000523090362548828
19,1,307,16.5867569446564,0.000665187835693359
20,1,405,19.2767930030823,0.000613927841186523
21,1,401,23.6189620494843,0.00032806396484375
22,1,218,14.0276501178741,0.000877141952514648
23,1,248,13.1601419448853,0.000421047210693359
24,1,247,11.3810958862305,0.00029301643371582
25,1,301,13.8923311233521,0.000586032867431641
26,1,464,24.2101352214813,0.000392913818359375
27,1,357,38.5974202156067,0.000378847122192383
28,1,203,14.2026479244232,0.000352859497070312
29,1,321,20.6418628692627,0.000483036041259766
30,1,359,36.8558440208435,0.000803947448730469
