"locus","K","theta1","theta2","sigma12","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
2334,90,0.127607890755997,0.197757457954366,3.58646404079638e-07,0.02756,0,2000,139,0,139,0.0695,0.0264757998561151,0.033612924449077
2334,90,0.127607890755997,0.197757457954366,3.58646404079638e-07,0.02756,0.2,2000,149,0,149,0.0745,0.138323858926174,0.0317909297849867
2334,90,0.127607890755997,0.197757457954366,3.58646404079638e-07,0.02756,0.4,2000,134,0,134,0.067,0.225748960447761,0.0345989844105029
2334,90,0.127607890755997,0.197757457954366,3.58646404079638e-07,0.02756,0.6,2000,163,1,162,0.0815,0.359174281481482,0.0316278902920924
2334,90,0.127607890755997,0.197757457954366,3.58646404079638e-07,0.02756,0.8,2000,157,3,154,0.0785,0.480008942727273,0.0270833357083303
391,142,0.117404903121102,0.169032710725,3.56111671435021e-07,0.02756,0,2000,182,0,182,0.091,0.0347201841208791,0.0283543316343567
391,142,0.117404903121102,0.169032710725,3.56111671435021e-07,0.02756,0.2,2000,187,0,187,0.0935,0.164390055668449,0.0270803083441484
391,142,0.117404903121102,0.169032710725,3.56111671435021e-07,0.02756,0.4,2000,198,2,196,0.099,0.291172826479592,0.026310576917376
391,142,0.117404903121102,0.169032710725,3.56111671435021e-07,0.02756,0.6,2000,215,4,211,0.1075,0.393852603611374,0.0239128519596047
391,142,0.117404903121102,0.169032710725,3.56111671435021e-07,0.02756,0.8,2000,183,3,180,0.0915,0.437982724555556,0.0252710297295801
18,155,0.0463519873452297,0.155648178494352,3.54866499773975e-07,0.02756,0,2000,84,0,84,0.042,0.0835483926190476,0.0432167629162344
18,155,0.0463519873452297,0.155648178494352,3.54866499773975e-07,0.02756,0.2,2000,95,0,95,0.0475,0.108375740842105,0.039750832036742
18,155,0.0463519873452297,0.155648178494352,3.54866499773975e-07,0.02756,0.4,2000,87,0,87,0.0435,0.198873925862069,0.0385682399750205
18,155,0.0463519873452297,0.155648178494352,3.54866499773975e-07,0.02756,0.6,2000,80,2,78,0.04,0.250402233461538,0.0392352997592801
18,155,0.0463519873452297,0.155648178494352,3.54866499773975e-07,0.02756,0.8,2000,84,0,84,0.042,0.359237267619048,0.0413423330565954
708,166,0.136031261799447,0.149512843214603,3.56044145754991e-07,0.02756,0,2000,240,0,240,0.12,0.00322705108333334,0.0227271386229999
708,166,0.136031261799447,0.149512843214603,3.56044145754991e-07,0.02756,0.2,2000,247,0,247,0.1235,0.156960827489879,0.024008471378322
708,166,0.136031261799447,0.149512843214603,3.56044145754991e-07,0.02756,0.4,2000,236,1,235,0.118,0.265978448595745,0.0238254758560624
708,166,0.136031261799447,0.149512843214603,3.56044145754991e-07,0.02756,0.6,2000,235,0,235,0.1175,0.387355318425532,0.0227050029900088
708,166,0.136031261799447,0.149512843214603,3.56044145754991e-07,0.02756,0.8,2000,250,7,243,0.125,0.496020988024691,0.0218921405007585
1384,191,0.130898403207529,0.232534246434464,3.55146786821603e-07,0.02756,0,2000,474,0,474,0.237,0.0242714736434599,0.016405953752494
