K_bin,trait,n_loci,observed_mean_theta,null_mean_theta,null_sd_theta,z_above_null,pct_of_loci_below_null_mean
50,ASD,2,0.6796368273935554,0.45827904592359214,0.10265335706695254,3.049556153214417,0.0
50,SCZ,2,3.9616815145284106,0.45827904592359214,0.10265335706695254,48.264951357809515,0.0
100,ASD,6,0.3482787711697792,0.3151460121120047,0.06449122829893209,1.258440187957606,0.5
100,SCZ,6,0.8789672816420436,0.3151460121120047,0.06449122829893209,21.41491878671024,0.16666666666666666
150,ASD,8,0.22774252818143206,0.2585139703856308,0.051981237196011006,-1.6743499480346025,0.875
150,SCZ,8,0.39021404256213976,0.2585139703856308,0.051981237196011006,7.1661252515100715,0.125
200,ASD,13,0.20745620505707135,0.21855481203216043,0.03968124244257078,-1.0084511994003342,0.6923076923076923
200,SCZ,13,0.41860329901136645,0.21855481203216043,0.03968124244257078,18.17697816358465,0.23076923076923078
250,ASD,11,0.19711649727971337,0.19898680153087805,0.03835005968243632,-0.1617493557059786,0.7272727272727273
250,SCZ,11,0.4027639786411953,0.19898680153087805,0.03835005968243632,17.623243429325093,0.0
300,ASD,14,0.18963321011317066,0.18170459742841744,0.03290234520932621,0.9016424826266664,0.5
300,SCZ,14,0.27527330850909737,0.18170459742841744,0.03290234520932621,10.640641472775805,0.21428571428571427
350,ASD,13,0.16307740777124974,0.17006381916610594,0.031175538944668214,-0.8080009317673083,0.5384615384615384
350,SCZ,13,0.2754138158871963,0.17006381916610594,0.031175538944668214,12.184065710043397,0.23076923076923078
400,ASD,3,0.16178790981074306,0.15988826379458446,0.029133108186787545,0.1129396628497994,0.6666666666666666
400,SCZ,3,0.3926061311227514,0.15988826379458446,0.029133108186787545,13.8357763770727,0.0
450,ASD,2,0.1431550223749829,0.1520751693670775,0.026775784486950595,-0.4711343886387256,1.0
450,SCZ,2,0.23389903809009105,0.1520751693670775,0.026775784486950595,4.32168196342919,0.0
500,ASD,4,0.15381521290917644,0.14579616236566115,0.026127066796753907,0.613850043397263,0.5
500,SCZ,4,0.1713238837029467,0.14579616236566115,0.026127066796753907,1.9541207236058502,0.25
550,ASD,1,0.12224024870952377,0.13994528178343305,0.02427596038766712,-0.7293236927056421,1.0
550,SCZ,1,0.1941441537897466,0.13994528178343305,0.02427596038766712,2.23261494667161,0.0
600,ASD,1,0.10980213301390984,0.13491239808151237,0.023265046881146043,-1.0793128935386693,1.0
600,SCZ,1,0.1855969694086408,0.13491239808151237,0.023265046881146043,2.1785716395097023,0.0
