locus,chr,K_int,theta_ASD,theta_SCZ,p_ASD,p_SCZ,rho_hat,rho_lower,rho_upper,null_p_positive_rho0,null_p_determinate_rho0
10,1,261,1e-06,0.174947046624455,0.0405959,0.00495788,0.253335,-0.67302,1.0,,0.068
39,1,287,0.1499003565978152,0.27813417146826924,0.0061793,0.000565655,0.184068,-0.45876,0.93953,,0.04
48,1,268,1e-06,0.3860199435893238,0.0299114,2.68194e-05,0.52806,-0.04469,1.0,,0.048
56,1,155,1e-06,0.34984443564365447,0.0216631,0.00102769,0.519352,-0.16094,1.0,,0.076
84,1,304,0.048321324980015325,0.4646667924316632,0.0149142,2.52085e-07,0.405482,-0.08878,1.0,,0.052
85,1,364,0.19585705017779265,0.5292424267173387,0.00209443,3.79527e-10,0.482708,0.08881,1.0,,0.036
95,1,326,1e-06,1e-06,0.0370093,0.0456971,-0.393859,-1.0,0.61625,,0.032
131,1,171,0.10221722559317664,0.3446268582795011,0.0119969,0.000826221,0.478305,-0.15942,1.0,,0.076
142,1,153,1e-06,0.5795140281840615,0.0398449,6.08536e-06,0.177205,-0.54619,1.0,,0.056
152,1,271,0.032416338523485064,0.33554672018098175,0.0165415,0.00013972,-0.114547,-0.95707,0.5656,,0.044
176,1,304,1e-06,0.3392162023710881,0.0373143,6.12425e-05,0.254334,-0.43744,1.0,,0.06
292,2,139,1e-06,1e-06,0.0416311,0.038309,0.887065,-0.01548,1.0,,0.052
293,2,84,1e-06,1e-06,0.0236358,0.0454699,-0.380105,-1.0,0.71525,,0.06
301,2,428,1e-06,0.03941431546052969,0.0209997,0.0152277,0.343193,-0.52316,1.0,,0.068
313,2,310,0.21909810770062238,0.1504055999533411,0.00181269,0.00573013,-0.416788,-1.0,0.18675,,0.048
369,2,195,1e-06,0.5876081361423111,0.0355164,3.39701e-07,-0.121403,-0.95035,0.54783,,0.06
383,2,584,1e-06,0.16294770015200966,0.0411257,0.00172759,0.442037,-0.27649,1.0,,0.032
397,2,190,1e-06,0.2531190785225358,0.046359,0.00272868,0.0153633,-1.0,1.0,,0.068
418,2,346,0.02242037154263463,0.10062940821248922,0.0172503,0.00947027,0.238466,-0.58842,1.0,,0.06
461,3,452,1e-06,0.3078577084380352,0.0256892,1.25461e-05,0.46134,-0.09378,1.0,,0.04
462,3,348,0.03755988965081602,0.4226033577527486,0.0157394,4.06886e-07,0.310724,-0.20744,1.0,,0.076
466,3,423,0.15682518128764586,0.4583649912863391,0.00360168,2.77828e-09,0.592474,0.20017,1.0,,0.052
