locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
2,1,175,0.0147453,0.00500927,0.06308543928356362,0.21178120273241846,0.5201351064082391,0.19541019204531487,False,0.443188,0.4763720135441338,0.4763720135441338,-0.39737,1.0,1.39737,2.6865519800219837
3,1,293,0.0175079,5.39564e-07,0.02092338556619603,0.45829596415573814,0.3892338907862774,0.11827912509534173,False,0.44845,0.8482582907610947,0.8482582907610947,-0.08032,1.0,1.08032,2.7755034326987413
7,1,330,0.00186775,0.00048603,0.21099155642037032,0.2641465242798711,0.9332565778543266,0.03388353726331701,False,0.401998,0.39444079095914236,0.39444079095914236,-0.16861,0.97794,1.14655,1.2285474618738415
8,1,319,0.00332005,0.0017559,0.18434911854386551,0.21748988593387045,0.8798526474132354,0.06080252642973231,False,0.32541,0.30074066873380784,0.30074066873380784,-0.34695,0.94416,1.29111,1.4674161676911015
9,1,506,0.0221707,0.00056876,0.0,0.208961857870446,0.0,0.1830242010825768,True,0.154751,-1.0,-inf,-0.74673,0.83527,1.5819999999999999,
14,1,367,0.0252388,0.0251949,0.0,0.0,0.0,0.42776,True,0.0112371,-1.0,-inf,-1.0,0.86883,1.86883,
15,1,416,0.0176034,0.000120097,0.017812858015191852,0.2722470472718023,0.3801162512143714,0.14474655158162683,False,0.0441598,-0.26462102385856595,-0.26462102385856595,-0.82644,0.62468,1.45112,3.817568955192137
23,1,261,4.11415e-05,2.72261e-05,0.3794974981308575,0.39114483185200927,0.9928612160216796,0.004221641548587479,False,0.100895,0.09736845078789098,0.09736845078789098,-0.41977,0.50249,0.92226,0.9288911532826576
26,1,515,0.000756395,0.00940526,0.19919858016040162,0.08520806220015194,0.760411606098108,0.09326705014539766,False,0.0526742,-0.0533827335351854,-0.0533827335351854,-0.82339,0.64829,1.47168,1.935372879895424
27,1,427,6.1892e-07,0.000961609,0.3715409097036839,0.21044426638477515,0.969258873868444,0.01248416333863055,False,0.0370213,0.025315359315141887,0.025315359315141887,-0.51628,0.43969,0.95597,0.9862896546766641
29,1,360,0.000151604,0.0047025,0.28704001756386016,0.15338946973648016,0.8866840325867426,0.04735731735043662,False,0.263705,0.24399636702423477,0.24399636702423477,-0.39,0.83865,1.22865,1.3856683495423197
30,1,403,2.72937e-06,0.00037015,0.3563997644561404,0.24675409545550495,0.9832091426121715,0.007771022619480588,False,0.0857707,0.07933172506237211,0.07933172506237211,-0.43743,0.48855,0.92598,0.9417935206947669
31,1,312,0.0112313,0.000426853,0.08640647361521,0.27636010385836385,0.714409606650736,0.10152147909555231,False,-0.337482,-0.6144982864293627,-0.6144982864293627,-1.0,0.23639,1.23639,1.7306458206747664
32,1,335,0.0311218,3.17893e-07,0.0,0.436179124828729,0.0,0.13346205937730715,True,0.048633,-1.0,-inf,-0.7529,0.62734,1.3802400000000001,
33,1,345,0.00296792,0.0100836,0.18358762726966332,0.09439219511892445,0.7080871339695676,0.1277747740911517,False,-0.283325,-0.5805779463701145,-0.5805779463701145,-1.0,0.31652,1.3165200000000001,1.8592627048870827
36,1,483,0.000658712,5.84821e-16,0.2095760630040992,0.6103633169016086,0.9764085123655757,0.007331076914023458,False,0.29737,0.29704669655459076,0.29704669655459076,-0.04692,0.62902,0.67594,0.6922717197153258
37,1,241,0.000377101,0.0217561,0.3209545155433412,0.0,0.0,0.17576027025281735,True,0.126873,-1.0,-inf,-0.82861,0.80718,1.63579,
38,1,285,0.00017789,1.34086e-05,0.3191929717648471,0.39125666189824526,0.988113666421743,0.006404233262258464,False,0.492178,0.491617293885707,0.491617293885707,0.0803,0.93562,0.85532,0.8656089163277855
39,1,315,0.000630236,0.000172917,0.2612177368022305,0.30376047672346984,0.9680693779198778,0.01702713176383308,False,0.320226,0.31319952386848576,0.31319952386848576,-0.20131,0.80598,1.00729,1.0405142678558812
40,1,385,0.000561466,0.010857,0.23970061723062844,0.08245210856644836,0.7224234648897031,0.10137970715113394,False,0.45805,0.4937136045315488,0.4937136045315488,-0.16743,1.0,1.16743,1.6159912526903302
43,1,304,5.76704e-07,0.00538504,0.44774970611171805,0.1565146124166701,0.8813397006352407,0.039351593695798805,False,-0.0651718,-0.11859603467364714,-0.11859603467364714,-0.74978,0.39272,1.1425,1.2963219507489834
44,1,218,0.00520478,0.0239185,0.1867590580849001,0.0,0.0,0.25156451322610623,True,0.534175,1.0,inf,-0.25672,1.0,1.25672,
46,1,483,0.000561168,7.90574e-06,0.21415207272189388,0.30578815706279266,0.9772889538311658,0.01039695713091962,False,0.218664,0.21310692406031237,0.21310692406031237,-0.27201,0.64086,0.91287,0.934084025427044
48,1,287,1.72009e-06,1.5288e-07,0.43815278163113447,0.4900069794378146,0.9992287936999559,0.0004626312922278507,False,0.378583,0.3784122025824173,0.3784122025824173,0.04186,0.70752,0.66566,0.6661737573986299
51,1,421,0.00157183,0.0020853,0.19408947965963969,0.1826619825806381,0.905151299898085,0.048096496789313326,False,0.295892,0.2737614178299109,0.2737614178299109,-0.34036,0.88619,1.22655,1.3550773225847468
52,1,386,3.32831e-06,0.00253682,0.3608337563016918,0.18153598917692587,0.9369187456604605,0.024412990989982078,False,0.497325,0.5047524251173445,0.5047524251173445,0.06286,1.0,0.93714,1.0002361510435822
53,1,509,0.017769,0.000202853,0.015473868825314846,0.2341641261342237,0.36701115408958945,0.15093832553926545,False,0.500169,0.9515532990462884,0.9515532990462884,-0.09512,1.0,1.09512,2.9838875134914162
55,1,407,0.00926258,0.0155182,0.09565200712373732,0.03747334024296344,0.4198469185630503,0.24571688109877848,False,-0.307512,-1.0,-1.317691893493551,-1.0,0.37173,1.37173,3.2672146426483804
58,1,269,7.53875e-06,0.00390889,0.41832328430265875,0.18960693984908075,0.9111164242611985,0.03405837835624909,False,0.00109557,-0.036178481123285436,-0.036178481123285436,-0.68892,0.4751,1.16402,1.2775754766399636
60,1,364,2.59998e-09,0.000628154,0.49885812450030703,0.24283459764407508,0.9774716636775185,0.008581105724638684,False,0.403251,0.403766072144234,0.403766072144234,0.02852,0.8036,0.77508,0.7929437024127481
61,1,269,2.09308e-06,0.00220218,0.44937696674043465,0.2248241707082169,0.9449126653807814,0.02200270744076926,False,0.452982,0.4561048955625486,0.4561048955625486,-0.00569,0.96584,0.97153,1.02816909498032
62,1,164,4.10713e-06,2.22204e-05,0.5703535147205313,0.5119410631779902,0.9963124832427382,0.0023591216842181167,False,0.813229,0.8138710414192655,0.8138710414192655,0.4846,1.0,0.5154000000000001,0.5173075803712777
64,1,154,0.0151921,0.00865014,0.06006695830169553,0.15927719292373438,0.4514600103325675,0.238790088559285,False,0.171292,-0.14951066985880454,-0.14951066985880454,-0.91547,0.98837,1.90384,4.217073398367085
65,1,218,0.00555901,0.00270567,0.18087330782249653,0.23669026613279234,0.8232422160597962,0.08890886881795405,False,0.353877,0.3218592608749306,0.3218592608749306,-0.38354,1.0,1.38354,1.680598945255629
66,1,232,0.0217692,0.000520336,0.0,0.3141965324423806,0.0,0.18048571846221723,True,0.912517,1.0,inf,0.39898,1.0,0.60102,
70,1,419,0.0051418,0.0032527,0.13748369042285755,0.1627085813564627,0.8164168263605859,0.08932807930174483,False,0.346996,0.31560829269882207,0.31560829269882207,-0.36442,1.0,1.36442,1.6712296414593717
71,1,328,0.0280093,0.00249233,0.0,0.19745391765262532,0.0,0.21762109241557165,True,0.444562,1.0,inf,-0.34456,1.0,1.34456,
72,1,262,0.000748964,2.02094e-07,0.2800126103736498,0.5093520071683667,0.9750194455908491,0.010538105040853547,False,0.232814,0.22797073018830938,0.22797073018830938,-0.2323,0.65164,0.88394,0.9065870470556039
73,1,397,0.0241262,5.59272e-05,0.0,0.2971027133770334,0.0,0.1575493384779463,True,0.0783004,-1.0,-inf,-0.78506,0.68017,1.46523,
74,1,178,0.000325421,0.00015274,0.3837691419091209,0.41668072586713367,0.9776241194261308,0.013273036210371101,False,-0.0937769,-0.10950009731062059,-0.10950009731062059,-0.80045,0.36337,1.16382,1.1904575356458749
78,1,324,0.00316053,0.0149932,0.18577619836367146,0.0462840594766523,0.5239725638737196,0.17603799285787045,False,-0.269877,-0.8510273697562121,-0.8510273697562121,-1.0,0.36615,1.36615,2.60729300385516
83,1,296,0.000562868,2.77318e-09,0.2739299060562308,0.5586687289037768,0.9793439503390722,0.008094087296149573,False,0.494212,0.49637097623929244,0.49637097623929244,0.13104,0.90678,0.7757400000000001,0.7921016918840623
84,1,316,3.14927e-07,8.46169e-06,0.4504977498902113,0.38084168685506303,0.9981812411082046,0.0010193903129324833,False,0.47082,0.4706566206007676,0.4706566206007676,0.12719,0.80766,0.68047,0.6817098658801943
85,1,414,1.0007e-10,0.00238905,0.5116669914780956,0.17821676768494005,0.9404946210891496,0.018790558827541052,False,0.331545,0.3325425091855075,0.3325425091855075,-0.06542,0.77012,0.8355400000000001,0.888404868315349
87,1,154,0.0336385,2.12349e-05,0.0,0.5319582407357133,0.0,0.14866791537836427,True,-0.176928,-1.0,-inf,-1.0,0.45206,1.45206,
88,1,339,0.0011692,0.00146311,0.2283730069895135,0.21904155722389743,0.9260927214227895,0.038634196829442476,False,0.64966,0.6597890136009456,0.6597890136009456,0.14598,1.0,0.85402,0.9221754801052086
91,1,169,0.0373685,0.000794365,0.0,0.3489716451607537,0.0,0.18751983468520877,True,0.187734,1.0,inf,-0.84306,0.98687,1.82993,
92,1,208,0.0369223,0.0016392,0.0,0.274102246616635,0.0,0.20441629932496252,True,0.369003,1.0,inf,-0.49746,1.0,1.49746,
93,1,212,0.029789,0.0373595,0.0,0.0,0.0,0.42776,True,0.468546,1.0,inf,-0.68235,1.0,1.68235,
