locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
1,1,201,0.000667104,0.00169,0.3271013551767927,0.2771371794439774,0.9347709352413248,0.018102657019260417,False,0.189104,0.18293395369272267,0.18293395369272267,-0.42951,0.82437,1.25388,1.341376750953743
3,1,289,2.57158e-05,1.01128e-05,0.37179958479032554,0.3952721745946782,0.9951936484294799,0.0014356870727618603,False,-0.0667198,-0.06848464837001157,-0.06848464837001157,-0.5522,0.33337,0.88557,0.8898469171276588
7,1,328,0.0218511,0.00210959,0.0,0.20580837074911537,0.0,0.10804777148349959,True,-0.389486,-1.0,-inf,-1.0,0.26739,1.26739,
8,1,318,0.00774664,0.00211375,0.12385433400655349,0.20888979419568593,0.7821327685624367,0.050646296897597955,False,-0.213967,-0.3383227343663893,-0.3383227343663893,-1.0,0.39789,1.39789,1.787279674484586
9,1,500,0.00468812,0.00519567,0.13184525066920594,0.12622510472818904,0.7886442014713931,0.05197294667144855,False,-0.104366,-0.19823761637981116,-0.19823761637981116,-1.0,0.51738,1.51738,1.9240362094452559
11,1,359,0.00292311,0.0198038,0.18086932687118365,0.0,0.0,0.11387691161686414,True,-0.0312923,-1.0,-inf,-1.0,0.69766,1.69766,
14,1,366,0.00716028,0.0137022,0.1225315093036028,0.05659725884464515,0.5276403336410362,0.10416859926695252,False,0.574369,0.891138093042246,0.891138093042246,-0.09599,1.0,1.09599,2.0771535648857786
26,1,506,0.0352651,0.00760778,0.0,0.1018046441958874,0.0,0.14144291858020405,True,0.0326748,-1.0,-inf,-1.0,0.94924,1.94924,
27,1,418,2.76613e-07,0.0015844,0.38938235244878505,0.1944567935631871,0.9563026122636044,0.008449705845300245,False,-0.409523,-0.43707159270007967,-0.43707159270007967,-1.0,0.00745,1.00745,1.0534845216153157
29,1,357,0.0084795,0.00193048,0.10956864437895604,0.20146115150717572,0.7664618587131335,0.052433309879965834,False,0.312821,0.33972687245940364,0.33972687245940364,-0.39607,1.0,1.39607,1.8214474525111526
30,1,402,0.00853815,0.000453722,0.10330087985340523,0.24106888706488208,0.7905970652523151,0.04151518296640725,False,0.428655,0.4896803113100844,0.4896803113100844,-0.17011,1.0,1.17011,1.4800333209263372
31,1,298,0.00353618,0.00390534,0.18672007700802984,0.18042543758871651,0.8372683300092552,0.0419555065879424,False,-0.283674,-0.3889189342493617,-0.3889189342493617,-1.0,0.33699,1.3369900000000001,1.5968476915700622
32,1,329,3.11668e-06,3.06851e-07,0.3944019382437598,0.4411823193963491,0.9988894134265662,0.0003294144360417542,False,-0.131859,-0.13233538433707673,-0.13233538433707673,-0.55597,0.21997,0.77594,0.7768027066562193
34,1,273,0.000468136,0.00106135,0.29267638751635383,0.2591695612000642,0.9505232543160081,0.013559141320881804,False,0.0746032,0.06422153103770743,0.06422153103770743,-0.56822,0.63976,1.20798,1.270857913801653
37,1,239,0.0278003,0.0201552,0.0,0.0,0.0,0.21794,True,0.129388,-1.0,-inf,-1.0,1.0,2.0,
38,1,280,0.00344952,5.71277e-05,0.19409024496023355,0.35632017440366665,0.9166665852905311,0.018089517348563126,False,0.268306,0.2729634598517982,0.2729634598517982,-0.29913,0.86922,1.16835,1.2745637495117152
39,1,310,0.0407299,0.00112969,0.0,0.24033764319885687,0.0,0.09955743181839852,True,0.626638,1.0,inf,-0.04713,1.0,1.04713,
40,1,380,0.000165385,0.0128351,0.27685741336605485,0.0639746237084229,0.660759473174236,0.05372199624445648,False,-0.0562207,-0.16638837687229893,-0.16638837687229893,-0.8901,0.55855,1.44865,2.192401409004097
41,1,279,2.85333e-05,2.96955e-06,0.37611354504259337,0.43238431326050114,0.9959078323314976,0.001193849881562751,False,0.045363,0.04435064037505744,0.04435064037505744,-0.40486,0.45154,0.8564,0.859918932452917
42,1,187,0.0176479,0.0281587,0.02268137389574553,0.0,0.0,0.20502249735945474,True,0.0136635,-1.0,-inf,-1.0,1.0,2.0,
