locus,chr,K,p_1,p_2,theta_1,theta_2,slope,intercept,floored,rho_hat,rho_corrected,rho_corrected_unclipped,rho_lower,rho_upper,ci_width,ci_width_corrected
1,1,201,0.0172513,8.37358e-06,0.027239705831610686,0.48775537014262005,0.4129057675333864,0.06626978614373505,False,0.132318,0.15995953326305734,0.15995953326305734,-0.56259,0.80345,1.36604,3.308357759593527
3,1,289,7.71154e-05,2.88982e-07,0.3419165171813723,0.4749521843027557,0.9938966607502356,0.0016146601726107507,False,-0.134695,-0.1371467130895866,-0.1371467130895866,-0.60897,0.25016,0.85913,0.8644057616125724
7,1,328,0.0429667,7.47885e-05,0.0,0.3206586763699976,0.0,0.08433181712013048,True,-0.328939,-1.0,-inf,-1.0,0.30865,1.30865,
9,1,500,0.012565,0.000974599,0.05951774700030786,0.19443205037240793,0.655957335926882,0.06490939463423695,False,-0.314559,-0.5784955420889376,-0.5784955420889376,-1.0,0.2658,1.2658,1.9296986719592015
11,1,359,0.000736374,0.00995445,0.23904208874565155,0.09405297151717965,0.7469513886484163,0.05179946318376924,False,-0.306115,-0.4791670095578825,-0.4791670095578825,-1.0,0.27255,1.27255,1.7036583897415827
15,1,412,0.0231477,8.2115e-07,0.0,0.3737691158017685,0.0,0.0726354841819553,True,0.205324,1.0,inf,-0.39911,0.89178,1.29089,
19,1,353,0.00169271,0.00144617,0.2084391061488536,0.2151628517031455,0.9158962054276342,0.02306133918631093,False,-0.0290814,-0.05693083875368319,-0.05693083875368319,-0.77999,0.55485,1.3348399999999998,1.457414052039619
27,1,418,0.000518506,1.27281e-07,0.23243142205512365,0.4021598143039605,0.979905650323648,0.004383069859264918,False,-0.394743,-0.40731071376865685,-0.40731071376865685,-0.99949,0.00087,1.00036,1.0208737950124036
29,1,357,0.0370057,2.04729e-05,0.0,0.3375227882354367,0.0,0.07978970987226958,True,0.343114,1.0,inf,-0.31542,1.0,1.31542,
31,1,298,0.0404369,0.00114528,0.0,0.24459587175847675,0.0,0.10358617745498541,True,-0.560725,-1.0,-inf,-1.0,0.13083,1.13083,
32,1,329,2.39253e-05,4.11167e-11,0.3487252957055747,0.5960647809675624,0.9970563858914554,0.0006908028325773307,False,-0.115229,-0.11626203339436507,-0.11626203339436507,-0.49832,0.213,0.71132,0.7134200332752674
34,1,273,0.0213225,0.000151247,0.0,0.33172760891409986,0.0,0.08745812843997587,True,-0.118703,-1.0,-inf,-1.0,0.53126,1.53126,
35,1,498,0.0396449,0.0117425,0.0,0.0665006347514699,0.0,0.17148185064820923,True,0.344135,1.0,inf,-0.63742,1.0,1.63742,
36,1,479,0.0282474,8.9966e-15,0.0,0.5831421636134873,0.0,0.05599918311874457,True,0.236987,1.0,inf,-0.24607,0.83278,1.07885,
38,1,280,0.0252479,6.72505e-07,0.0,0.46506961283018217,0.0,0.07157659957134656,True,0.0960126,1.0,inf,-0.58346,0.71927,1.30273,
39,1,310,0.0132674,1.96446e-06,0.0651775771906291,0.4172915775654035,0.6503302638245023,0.04746687065181745,False,0.270322,0.3426799300982894,0.3426799300982894,-0.29205,0.93976,1.23181,1.8941299037136852
40,1,380,0.0106579,0.00437449,0.0848497951911771,0.1539110997111774,0.6696289955795449,0.07779647960138171,False,0.114325,0.05455038631802956,0.05455038631802956,-0.74792,0.95696,1.7048800000000002,2.5460068355081833
41,1,279,0.000163548,7.91655e-07,0.3254705487372688,0.4623912812116538,0.9902996976681412,0.0025257284793439683,False,-0.0341167,-0.03700135278807607,-0.03700135278807607,-0.50907,0.39181,0.90088,0.9097044077881699
42,1,187,0.00250063,0.034827,0.2614684436598193,0.0,0.0,0.11521216392593629,True,-0.135004,-1.0,-inf,-1.0,0.68943,1.68943,
46,1,479,0.0199104,3.54358e-06,0.0,0.3210663287853349,0.0,0.07578265831998635,True,0.0864598,1.0,inf,-0.59647,0.7249,1.32137,
61,1,265,0.000525973,3.86743e-05,0.2927159826276931,0.3781658603500455,0.9766010611701441,0.006472730516864819,False,-0.0132411,-0.020186165365460588,-0.020186165365460588,-0.60865,0.45243,1.06108,1.086503017648409
62,1,159,0.0158161,7.01118e-07,0.05032327895287283,0.6378166689604683,0.5250181412860254,0.055409096751048145,False,0.497861,0.8427364093842004,0.8427364093842004,-0.04342,1.0,1.04342,1.9873979924658522
70,1,415,0.00487648,2.39282e-07,0.14131555382473623,0.39330674314169317,0.8905210004974934,0.01887807338061853,False,-0.42425,-0.4976054165292712,-0.4976054165292712,-1.0,0.02718,1.02718,1.1534596033402484
76,1,349,0.0179513,0.0389507,0.015228763132865418,0.0,0.0,0.21461214434597317,True,-0.516904,-1.0,-inf,-1.0,0.30548,1.30548,
