K_bin,trait,n_loci,observed_mean_theta,null_mean_theta,null_sd_theta,z_above_null,pct_of_loci_below_null_mean
50,MDD_noUKB,8,0.6155998919349522,0.45827904592359214,0.10265335706695254,4.334690660494726,0.25
50,BIP_noUKB,8,1.0859024872857166,0.45827904592359214,0.10265335706695254,17.293025931118557,0.0
100,MDD_noUKB,11,0.45906883551445543,0.3151460121120047,0.06449122829893209,7.401595791941438,0.36363636363636365
100,BIP_noUKB,11,0.7890798574111725,0.3151460121120047,0.06449122829893209,24.373248607108778,0.0
150,MDD_noUKB,29,0.33338665367551495,0.2585139703856308,0.051981237196011006,7.756678386626651,0.3448275862068966
150,BIP_noUKB,29,0.4945632150587005,0.2585139703856308,0.051981237196011006,24.454286849133418,0.034482758620689655
200,MDD_noUKB,62,0.26615517204562145,0.21855481203216043,0.03968124244257078,9.44541013538655,0.27419354838709675
200,BIP_noUKB,62,0.4299374234967226,0.21855481203216043,0.03968124244257078,41.94496554663097,0.0967741935483871
250,MDD_noUKB,77,0.21592313086632808,0.19898680153087805,0.03835005968243632,3.8752400387992605,0.5064935064935064
250,BIP_noUKB,77,0.3724680814535233,0.19898680153087805,0.03835005968243632,39.69464626146592,0.06493506493506493
300,MDD_noUKB,111,0.2154354341035682,0.18170459742841744,0.03290234520932621,10.800944848839618,0.3963963963963964
300,BIP_noUKB,111,0.3678771098007337,0.18170459742841744,0.03290234520932621,59.61426506756854,0.036036036036036036
350,MDD_noUKB,85,0.20102893986196205,0.17006381916610594,0.031175538944668214,9.157317452877917,0.38823529411764707
350,BIP_noUKB,85,0.348480496564857,0.17006381916610594,0.031175538944668214,52.763177314103515,0.09411764705882353
400,MDD_noUKB,72,0.19239309198445353,0.15988826379458446,0.029133108186787545,9.46732533459672,0.3888888888888889
400,BIP_noUKB,72,0.32200757238807814,0.15988826379458446,0.029133108186787545,47.21871558616193,0.05555555555555555
450,MDD_noUKB,36,0.19186660195970462,0.1520751693670775,0.026775784486950595,8.916586390666497,0.3888888888888889
450,BIP_noUKB,36,0.31373193753633016,0.1520751693670775,0.026775784486950595,36.224544961072,0.05555555555555555
500,MDD_noUKB,31,0.16671977043168124,0.14579616236566115,0.026127066796753907,4.458890094248292,0.4838709677419355
500,BIP_noUKB,31,0.3058122726273072,0.14579616236566115,0.026127066796753907,34.09996243069138,0.03225806451612903
550,MDD_noUKB,13,0.1512685670059293,0.13994528178343305,0.02427596038766712,1.6817742665767017,0.46153846153846156
550,BIP_noUKB,13,0.27590878245085215,0.13994528178343305,0.02427596038766712,20.193778759707047,0.07692307692307693
600,MDD_noUKB,6,0.1523466336968603,0.13491239808151237,0.023265046881146043,1.8355854398758154,0.3333333333333333
600,BIP_noUKB,6,0.2496857717466157,0.13491239808151237,0.023265046881146043,12.084059102632793,0.0
650,MDD_noUKB,2,0.14243857425808182,0.13114088960690526,0.02347040498813143,0.6807440632229268,0.5
650,BIP_noUKB,2,0.289391238683645,0.13114088960690526,0.02347040498813143,9.535403842744664,0.0
