"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,-0.8,2000,691,27,664,0.3455,-0.590855184864458,0.0112269647002978
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,-0.6,2000,673,5,668,0.3365,-0.455049672606287,0.0119016117702675
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,-0.4,2000,706,4,702,0.353,-0.320949887934473,0.0116076361740895
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,-0.2,2000,698,2,696,0.349,-0.147557068308908,0.0124324625439854
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,0,2000,681,0,681,0.3405,8.97558149779744e-05,0.012721107672893
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,0.2,2000,676,1,675,0.338,0.152448380786074,0.0120908644889473
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,0.4,2000,635,6,629,0.3175,0.335255045310016,0.0125770736666451
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,0.6,2000,711,11,700,0.3555,0.48951215546,0.0114398598808857
3,189,0.148522734558146,0.306831393046587,28.0707968314895,0.02756,0.8,2000,697,34,663,0.3485,0.622803984917044,0.0106055196523653
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,-0.8,2000,832,48,784,0.416,-0.638116093845663,0.00957712686746076
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,-0.6,2000,865,8,857,0.4325,-0.487318890770128,0.0099667732070596
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,-0.4,2000,856,3,853,0.428,-0.329351655404455,0.0103277691969646
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,-0.2,2000,859,0,859,0.4295,-0.178807217739232,0.0109030589098907
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,0,2000,842,0,842,0.421,0.0109725496508314,0.0109614881245511
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,0.2,2000,851,0,851,0.4255,0.17000180026557,0.0105906407130995
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,0.4,2000,861,5,856,0.4305,0.345527343603972,0.0105304341514365
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,0.6,2000,824,9,815,0.412,0.514697921092025,0.00992420218618974
10,261,0.157731177910934,0.240141438965071,41.1678374347537,0.02756,0.8,2000,810,38,772,0.405,0.647697163860104,0.00934802708935228
190,305,0.0463513332135739,0.33556203509209,14.13715663014,0.02756,-0.8,2000,267,2,265,0.1335,-0.466051206943396,0.0185059186586565
