"locus","K","outcome","dropped_pheno","theta1","theta2","lambda_min"
3,189,"usable",NA,0.148522734558146,0.306831393046587,28.0707968314895
10,261,"usable",NA,0.157731177910934,0.240141438965071,41.1678374347537
22,218,"channel2_phenotype_dropped","ASD",NA,NA,NA
41,270,"channel2_phenotype_dropped","SCZ",NA,NA,NA
42,179,"channel2_phenotype_dropped","ASD",NA,NA,NA
94,230,"channel2_phenotype_dropped","ASD",NA,NA,NA
103,276,"channel2_phenotype_dropped","ASD",NA,NA,NA
190,305,"usable",NA,0.0463513332135739,0.33556203509209,14.13715663014
198,323,"channel2_phenotype_dropped","ASD",NA,NA,NA
199,279,"channel2_phenotype_dropped","ASD",NA,NA,NA
203,216,"channel2_phenotype_dropped","SCZ",NA,NA,NA
212,256,"channel2_phenotype_dropped","ASD",NA,NA,NA
216,243,"channel2_phenotype_dropped","ASD",NA,NA,NA
224,366,"usable",NA,0.0500604927778245,0.129924844192019,18.3221403566838
232,319,"usable",NA,0.046349152568261,0.129375352532617,14.7853796692753
241,247,"channel2_phenotype_dropped","ASD",NA,NA,NA
280,271,"channel2_phenotype_dropped","ASD",NA,NA,NA
303,221,"channel2_phenotype_dropped","ASD",NA,NA,NA
354,126,"usable",NA,0.103779679673862,0.140820059055574,13.0762396389066
369,195,"usable",NA,0.190350005963255,0.586266872354187,37.1182511628348
383,584,"usable",NA,0.1039620797188,0.179756939803765,60.713854555779
384,237,"channel2_phenotype_dropped","ASD",NA,NA,NA
428,396,"channel2_phenotype_dropped","ASD",NA,NA,NA
442,354,"channel2_phenotype_dropped","ASD",NA,NA,NA
466,423,"usable",NA,0.194587858954891,0.454158015253442,82.310664337919
502,100,"channel2_phenotype_dropped","ASD",NA,NA,NA
555,291,"channel2_phenotype_dropped","ASD",NA,NA,NA
599,321,"channel2_phenotype_dropped","ASD",NA,NA,NA
616,452,"channel2_phenotype_dropped","ASD",NA,NA,NA
626,151,"channel2_phenotype_dropped","ASD",NA,NA,NA
667,234,"usable",NA,0.0711537398834298,0.128650073737763,16.6499751327226
696,211,"channel2_phenotype_dropped","ASD",NA,NA,NA
698,424,"usable",NA,0.0603858206642543,0.16321496442867,25.6035879616438
712,146,"usable",NA,0.0463523935886437,0.357520537427849,6.76744946394197
723,253,"channel2_phenotype_dropped","ASD",NA,NA,NA
