"locus","K","lambda_min","n_cells","slope","intercept"
3,189,28.0707968314895,9,0.775061456575736,0.00952194539710945
10,261,41.1678374347537,9,0.820655873535932,0.00614476896811363
190,305,14.13715663014,9,0.583722826000722,0.00573343206280021
224,366,18.3221403566838,9,0.510045802678001,0.0313608723395783
232,319,14.7853796692753,9,0.46152035626091,0.0223205187278824
354,126,13.0762396389066,9,0.527180017092183,0.0498942909535243
369,195,37.1182511628348,9,0.887641935225518,0.00229776867175654
383,584,60.713854555779,9,0.833672949192433,0.00627844253697429
466,423,82.310664337919,9,0.97093452021684,-0.000935768916699072
667,234,16.6499751327226,9,0.520739385935211,0.0462826358154701
698,424,25.6035879616438,9,0.616222196317821,0.0185857366406892
712,146,6.76744946394197,9,0.487713129220219,0.0304326522681762
751,246,11.4032005824689,9,0.463493458660794,0.0275845047469507
781,418,38.1526888687994,9,0.690621691606593,0.0241580431013314
848,182,12.8578536917741,9,0.639383024100162,0.00588344502938691
852,350,22.9965970664594,9,0.689262793234191,0.0102660182200453
917,396,18.3606820582751,9,0.586969582355018,0.018352142581242
942,133,8.27042136899557,9,0.565181966623468,0.0332735328899386
1064,239,27.9432472223962,9,0.709876865488446,0.0156618669118799
1165,315,14.6007899611812,9,0.570745945489099,0.0100682596766581
1169,351,16.2726654718055,9,0.587330253389775,0.0229865161231005
1193,318,14.7423281517688,9,0.55746216162912,0.0187423801407743
1233,280,13.9330330812368,9,0.583411995565705,0.00650777723261083
1245,214,18.5816182360548,9,0.683740080398981,0.0208271544724856
1249,331,22.2511140326943,9,0.655431003010484,0.0113854268850827
1336,202,25.6684218298372,9,0.671941063525238,0.0157171366982899
1342,110,18.9102323028292,9,0.65245463889355,0.0259189020201385
1545,256,42.9908530024728,9,0.89963111967073,0.00118332511491629
1573,301,13.9529632788346,9,0.527716646874972,0.019345032717224
1602,381,22.2744915836644,9,0.630483934853675,0.0119074866912747
1664,39,1.80761410792524,9,0.371424378540569,0.0196424027035
1689,199,9.75790711999453,9,0.516644638845035,0.028634329170933
1720,274,12.7011802224599,9,0.516355591207134,0.0173225490654986
1818,139,6.44257708463546,9,0.429632942069395,0.0342959448437006
1850,251,11.6342822531824,9,0.551395264141399,0.00906718863849794
1921,166,18.0399654093035,9,0.697977602057524,0.00292493830185714
2073,344,15.9494717460819,9,0.532449714152468,0.0327201929785668
2081,404,18.7295636870975,9,0.594350202657425,0.0145428470043317
2113,207,18.9346493032615,9,0.687436108443655,0.0175615989275253
2117,389,55.7331945348327,9,0.906267749075995,0.00192702316860375
2222,436,42.7851270753865,9,0.764101248333862,0.0150872496807362
2328,162,7.5093792212019,9,0.484041105250348,0.0174944416223664
2370,369,26.0428085717576,9,0.613831865751253,0.0298241477324864
2400,308,14.2839886690902,9,0.534551840144245,0.0364976911241791
2411,222,10.2905474669725,9,0.512190590526423,0.0237538483661437
2446,225,14.8061420433172,9,0.614574141099147,0.00698725345031331
