"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,-0.8,2000,809,31,778,0.4045,-0.616193370706941,0.00962302108517435
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,-0.6,2000,833,17,816,0.4165,-0.444037693590686,0.00968144837610963
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,-0.4,2000,808,2,806,0.404,-0.281582878066997,0.0102043465636139
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,-0.2,2000,837,0,837,0.4185,-0.131539340283154,0.00948463424948653
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,0,2000,828,0,828,0.414,0.0560052724561594,0.00963308142485947
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,0.2,2000,859,0,859,0.4295,0.2207725773844,0.00892199739421478
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,0.4,2000,817,0,817,0.4085,0.408534892705018,0.00879286898609339
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,0.6,2000,810,4,806,0.405,0.556276849168735,0.00851294988299678
34,274,0.128500780448603,0.393235583029953,35.2092138429173,0.21388,0.8,2000,809,11,798,0.4045,0.696827336967418,0.00725854066839178
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,-0.8,2000,1843,189,1654,0.9215,-0.751068896916566,0.00516232688335059
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,-0.6,2000,1852,61,1791,0.926,-0.596070892680067,0.0056992469249582
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,-0.4,2000,1861,6,1855,0.9305,-0.418880069861995,0.00608590590434774
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,-0.2,2000,1849,2,1847,0.9245,-0.205824635848944,0.00607057527523481
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,0,2000,1855,0,1855,0.9275,-0.00447576436280323,0.00552381748050913
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,0.2,2000,1838,0,1838,0.919,0.191962811390642,0.00535536251929797
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,0.4,2000,1841,1,1840,0.9205,0.404563618411413,0.00495841412625858
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,0.6,2000,1862,0,1862,0.931,0.610417393817401,0.00459797844924858
37,241,0.335818586258682,0.398518647940064,80.9322792883425,0.21388,0.8,2000,1853,44,1809,0.9265,0.78873496644555,0.00398538490107902
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,-0.8,2000,639,30,609,0.3195,-0.543312438566502,0.0121116174145991
42,192,0.129848348484159,0.401932622845577,24.9308829089586,0.21388,-0.6,2000,657,4,653,0.3285,-0.404298006906585,0.0115918524120437
