"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,-0.8,2000,1594,95,1499,0.797,-0.737066635697131,0.00558284228028992
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,-0.6,2000,1631,31,1600,0.8155,-0.57466714382,0.00610940357515071
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,-0.4,2000,1602,10,1592,0.801,-0.395442958984925,0.00663612000758199
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,-0.2,2000,1640,1,1639,0.82,-0.193173123965467,0.0062408132225146
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,0,2000,1618,0,1618,0.809,0.00387088362934487,0.0062234297407564
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,0.2,2000,1621,0,1621,0.8105,0.207175046656385,0.00614585842129007
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,0.4,2000,1582,2,1580,0.791,0.398531019668987,0.00609310200876489
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,0.6,2000,1623,5,1618,0.8115,0.588115601143387,0.00557566022148606
10,272,0.237152198505187,0.402317318699684,64.505397993411,0.10897,0.8,2000,1623,86,1537,0.8115,0.754409630839297,0.00495558273781816
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,-0.8,2000,1388,64,1324,0.694,-0.717631125,0.00592342639965749
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,-0.6,2000,1323,12,1311,0.6615,-0.560397243249428,0.00665570487293977
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,-0.4,2000,1349,1,1348,0.6745,-0.362322505893249,0.00684659546482361
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,-0.2,2000,1362,1,1361,0.681,-0.189482652032035,0.00683224175392756
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,0,2000,1392,0,1392,0.696,0.0173801003671695,0.0064288892811792
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,0.2,2000,1397,0,1397,0.6985,0.195818662169506,0.00640654031073028
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,0.4,2000,1389,0,1389,0.6945,0.37937122687761,0.00631373587828727
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,0.6,2000,1355,6,1349,0.6775,0.580669693002224,0.00598571836764182
19,353,0.170772895516974,0.398157537297009,60.2828321174918,0.10897,0.8,2000,1348,30,1318,0.674,0.748099122003035,0.0052589927066726
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,-0.8,2000,1032,42,990,0.516,-0.671869031070707,0.00770272933747737
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,-0.6,2000,989,15,974,0.4945,-0.504530895708419,0.00882046520260968
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,-0.4,2000,1013,4,1009,0.5065,-0.336813131377602,0.00935730003897079
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,-0.2,2000,1048,0,1048,0.524,-0.156334191858779,0.00855873034243202
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,0,2000,993,0,993,0.4965,0.0297707470513595,0.0090130383731362
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,0.2,2000,1014,0,1014,0.507,0.188687545939152,0.0088202690200704
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,0.4,2000,1068,1,1067,0.534,0.386618900656045,0.0083954347731006
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,0.6,2000,1071,11,1060,0.5355,0.560096842669811,0.00765849202171456
22,226,0.169955386416691,0.39894968006604,38.4099173301721,0.10897,0.8,2000,1024,36,988,0.512,0.705201131578947,0.00714377903947486
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,-0.8,2000,1180,57,1123,0.59,-0.701700240338379,0.00706041798991462
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,-0.6,2000,1157,15,1142,0.5785,-0.511515744448336,0.00773427999106844
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,-0.4,2000,1185,3,1182,0.5925,-0.349596491330795,0.0081260771014618
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,-0.2,2000,1184,1,1183,0.592,-0.160317599120879,0.00791421858547039
37,239,0.182393568148074,0.399133232473307,43.5920627873896,0.10897,0,2000,1155,0,1155,0.5775,0.0198166107714286,0.00801659560859302
