"locus","K","lambda_min","n_cells","slope","intercept"
10,272,64.505397993411,9,0.953545785747129,0.00575025771887546
19,353,60.2828321174918,9,0.92956754804253,0.0101672531383146
22,226,38.4099173301721,9,0.874504138966544,0.0223142130977565
37,239,43.5920627873896,9,0.892836180842822,0.0188381524498539
41,279,105.360671179644,9,1.01386906343366,-0.00142248399505718
42,187,42.9620450855414,9,0.909954931722998,0.0154278314520188
59,194,33.1183951450638,9,0.849575977601594,0.0270610460071297
77,224,89.2974615917183,9,1.00407582569158,-0.00285641354249041
97,350,91.310863700951,9,0.993334561415893,0.00521454590342367
125,333,56.3995520253581,9,0.923451628147518,0.013368470994473
224,387,80.0034314150779,9,0.969622622463275,0.00649801722700449
267,522,88.768716521156,9,0.97070623140089,0.00655558970187272
278,264,43.8665849415569,9,0.880086634037536,0.0181420676869354
377,288,114.398931380822,9,1.00620651757882,-0.00120582865177044
404,402,67.9699863760413,9,0.942665669582695,0.0110481756473382
417,336,56.9390152519787,9,0.921655064759384,0.0092206765053312
421,328,54.8043754286752,9,0.914511024443854,0.0155678258498279
436,351,59.9058902130632,9,0.926360259122248,0.0113058687201225
450,459,77.7483200133867,9,0.955970683938389,0.00517916865119121
456,269,45.733199533127,9,0.889291815730076,0.0184034014234576
481,427,72.9170230555108,9,0.944949563637591,0.00483832290949349
514,147,24.7057776542989,9,0.800203249988226,0.0367417309920869
517,183,38.4439358692188,9,0.895615211456027,0.024947029925802
518,300,51.2031647144623,9,0.909391071736779,0.0151317979170316
541,259,59.3534778130317,9,0.957256739913047,0.00666335024931219
545,247,42.070051901716,9,0.878878363777042,0.0211703420034372
597,202,63.1756779134144,9,0.966276286660338,0.0049424635410091
609,107,24.294828726228,9,0.828592153419534,0.0473396492910802
613,452,76.7389390407423,9,0.953951702543627,0.00959212274052301
653,305,52.0131216173866,9,0.912832373583831,0.0133089394645271
663,216,36.6903827432345,9,0.866066967807458,0.0220338017680846
698,459,77.9261849535339,9,0.954875771577362,0.0034091763397733
714,253,61.5552958186331,9,0.955443228379192,0.00813182274730873
718,298,50.005161766383,9,0.908433208560394,0.015641881019746
728,396,67.2462141393801,9,0.936608676282577,0.00539606070187755
780,315,53.5319433367446,9,0.918995900201335,0.0111244676305491
789,436,97.8315783219998,9,0.996214878836384,-0.00152293295968275
790,417,70.9759979184592,9,0.944804966261739,0.00811185134055215
824,247,41.7015950445553,9,0.886340440552069,0.0203333414927878
875,282,80.3330569175058,9,0.98921554884221,-0.00128358802540474
907,359,61.5175960308781,9,0.92808830781196,0.0108819942542732
918,596,100.983395890341,9,0.983782607128939,0.00305090895303991
922,326,58.7257052295318,9,0.926628931360215,0.00907635602865035
942,135,22.9355791476447,9,0.826699734233549,0.0178647081024725
957,79,45.8547611099262,9,1.00454905460211,9.32893075263526e-05
990,158,36.1963783744674,9,0.874739998272941,0.0267424687150269
1002,190,32.5373367411823,9,0.85630436340086,0.0250579958323458
1017,177,30.1763818187984,9,0.82116186526584,0.0311608514641657
1019,164,27.9279475948001,9,0.822166497978135,0.0304233926802795
1020,152,27.3888154534511,9,0.833432865740238,0.0234752137556553
1031,124,45.5690174625916,9,0.9271920005554,0.0166323159214593
1106,255,43.3941517706448,9,0.889216837532271,0.0189384147847853
1178,213,36.0578140982689,9,0.864061080622158,0.0271533635736891
1183,250,42.5726927885255,9,0.889985925964876,0.0157065638850303
1234,330,115.369493730759,9,1.00636466639751,5.67341199262383e-05
1237,391,65.7294104291295,9,0.934189665573444,0.0101487211204367
1244,483,96.9504228615885,9,0.984066483479166,-0.00143478442514548
1301,318,98.9566984395498,9,1.0060541306574,0.00184346669096528
1327,315,53.6586697479075,9,0.922491833115257,0.0148419858133469
1367,363,66.4037883243276,9,0.945290302721421,0.00677405103860274
1384,201,34.2894568456067,9,0.854780088766442,0.0284762079776673
1403,243,41.1797635980318,9,0.874291017801496,0.0190700264661617
1412,496,83.548536240398,9,0.961720833094875,0.00844934104296965
1481,442,82.6466544761951,9,0.968105721624013,0.00213978288015471
1504,346,58.4750815928176,9,0.924986532547967,0.0131801950026574
1511,261,43.2105900095675,9,0.889286670171591,0.0177414791339104
1541,171,68.9351339675438,9,0.989937513252264,0.000222973279064657
1567,325,55.337752061022,9,0.919794180555021,0.0112809302048983
1588,290,48.880219416121,9,0.900418428281823,0.0172793634912268
1664,39,15.6989146735357,9,0.85316703468726,0.0274590741352609
1671,338,57.0668438219011,9,0.91943461782941,0.00868670732223479
1692,237,92.7629905583108,9,1.0015663214313,-0.00164394164423017
1704,321,53.8916085796274,9,0.915328080973238,0.0111821378658858
1706,208,52.7535149442483,9,0.941374227301016,0.00959302879262414
1775,113,18.7396286094643,9,0.787168729581193,0.0339027250508077
1786,270,55.1156761218191,9,0.934068441417751,0.0106645961159161
1791,343,71.9737461209679,9,0.96512980789276,0.00664380918493597
1852,593,167.336473648752,9,1.01222127903982,-0.0022393146932876
1854,233,39.4955703031764,9,0.87924330313123,0.0161406576869686
1886,311,57.8342769402044,9,0.934175672013754,0.00791928222175712
1887,383,64.8141245134992,9,0.939465669503628,0.00727980956853447
1892,237,39.8762995590926,9,0.875632169871556,0.0236899568679956
1918,216,37.0013028205889,9,0.867422507317017,0.0205456556940432
1919,292,49.578938672769,9,0.904274239332428,0.01286503580089
1954,209,80.072433535349,9,0.986476387004349,0.000597597442406469
1970,295,49.8153675180261,9,0.903371694551799,0.0131939011651628
1984,220,37.1403755817949,9,0.871043564656378,0.0223712737866995
2019,472,80.5255602530028,9,0.957003468319335,0.00671161145121317
2042,368,67.1021280197775,9,0.944951686333495,0.00945276153841745
2090,276,78.0550802576581,9,0.984968497324764,0.000468050108650919
2098,509,86.7281860034492,9,0.966532289464116,0.00369722586332181
2108,441,74.8174289399736,9,0.953392402386891,0.00802745292480974
2196,277,55.674572940727,9,0.934105776583809,0.00589717022897074
