"locus","K","theta1","theta2","lambda_min","r_e","rho_true","n_rep","n_gate_pass","n_paramlim_drop","n_reported","gate_rate","mean_rho_hat","se_rho_hat"
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,-0.8,2000,1138,53,1085,0.569,-0.66942670875576,0.00740195240239149
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,-0.6,2000,1174,20,1154,0.587,-0.50883756627383,0.00824534466963762
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,-0.4,2000,1132,3,1129,0.566,-0.351256935287865,0.00843907816015829
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,-0.2,2000,1121,2,1119,0.5605,-0.1644769720958,0.00876048046265244
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,0,2000,1132,0,1132,0.566,0.0141603791051237,0.00837722859569281
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,0.2,2000,1139,0,1139,0.5695,0.190514858667252,0.00847160359898096
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,0.4,2000,1129,2,1127,0.5645,0.385475500175688,0.00783330278604429
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,0.6,2000,1163,12,1151,0.5815,0.563952339825369,0.00734045756708997
10,272,0.169811440302981,0.343103108355656,46.1887117624107,0.11322,0.8,2000,1112,27,1085,0.556,0.721248831539171,0.006659662841016
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,-0.8,2000,1724,113,1611,0.862,-0.748716478708876,0.00512819627639637
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,-0.6,2000,1739,33,1706,0.8695,-0.59665307457796,0.00579360072425743
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,-0.4,2000,1751,7,1744,0.8755,-0.403163794443807,0.00611311688127861
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,-0.2,2000,1753,3,1750,0.8765,-0.208938130123429,0.00596647609032276
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,0,2000,1733,1,1732,0.8665,0.0042488322482679,0.00590351886437274
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,0.2,2000,1741,0,1741,0.8705,0.207520137071798,0.00560213546634526
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,0.4,2000,1763,2,1761,0.8815,0.398927190088586,0.00562437151946857
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,0.6,2000,1767,15,1752,0.8835,0.598738956512557,0.00519600791316233
19,353,0.234946995915407,0.338818356350111,82.9362895581388,0.11322,0.8,2000,1720,61,1659,0.86,0.77078857124774,0.00458811388086132
22,226,0.141374912333628,0.339610160321527,31.9507301873998,0.11322,-0.8,2000,795,30,765,0.3975,-0.602166915503268,0.00990522098932399
22,226,0.141374912333628,0.339610160321527,31.9507301873998,0.11322,-0.6,2000,768,19,749,0.384,-0.461804085607477,0.0108184705236462
22,226,0.141374912333628,0.339610160321527,31.9507301873998,0.11322,-0.4,2000,778,2,776,0.389,-0.291721302377577,0.0108401294882976
22,226,0.141374912333628,0.339610160321527,31.9507301873998,0.11322,-0.2,2000,773,1,772,0.3865,-0.115208054002591,0.01103653579758
22,226,0.141374912333628,0.339610160321527,31.9507301873998,0.11322,0,2000,749,0,749,0.3745,0.0441052598050734,0.0114985918015849
22,226,0.141374912333628,0.339610160321527,31.9507301873998,0.11322,0.2,2000,791,0,791,0.3955,0.210828091731985,0.0107620206558737
22,226,0.141374912333628,0.339610160321527,31.9507301873998,0.11322,0.4,2000,772,1,771,0.386,0.363849993942931,0.0104223915484928
