"locus","K","lambda_min","n_cells","slope","intercept"
10,272,46.1887117624107,9,0.884127381763957,0.0201504140999275
19,353,82.9362895581388,9,0.973736377446502,0.00252802325720847
22,226,31.9507301873998,9,0.807558765724498,0.0381148232626889
37,239,33.8458108965708,9,0.814487239953121,0.0331753724806662
41,279,92.8992775994765,9,0.999569256138078,0.000641461344655148
42,187,58.8784117981268,9,0.951776525530751,0.0106170847380176
59,194,27.4671882024266,9,0.795982604502256,0.0411310770915032
77,224,76.0153178087391,9,0.987908293733588,0.0028638007887896
97,350,94.4628091213655,9,0.99562841079273,0.00334026877959677
125,333,47.0030436573084,9,0.860774933125909,0.0242538479147204
224,387,54.8620060057877,9,0.890184507719459,0.0138614884425355
267,522,73.8846906258656,9,0.942263820054107,0.00714177118107754
278,264,37.2880046418525,9,0.841758969235162,0.0339071775670457
377,288,74.3612179623962,9,0.970141930878196,0.0070262339021447
417,336,47.4466061629418,9,0.874404213773484,0.0198810631319612
421,328,46.2867564268794,9,0.873141122642863,0.0191613662375676
436,351,49.575117590796,9,0.884045739381987,0.0239055766949375
456,269,48.2569364182989,9,0.920492510373813,0.0102181737383559
481,427,60.4245483579721,9,0.906911875696844,0.0121143164427197
517,183,26.3149173557989,9,0.790112845146048,0.0488843343970013
541,259,52.0055626330486,9,0.919538105291567,0.0178692953192263
545,247,43.5102622935869,9,0.887785503860705,0.0182831399872237
597,202,40.2244139834429,9,0.88525794908145,0.0216424444159016
609,107,20.1202146750675,9,0.765700170805698,0.0537711553390346
613,452,63.7669638039074,9,0.911623921319847,0.0125811453334976
653,305,43.1785748592635,9,0.862919557404927,0.0234034294377061
698,459,64.9479363273972,9,0.914035245335233,0.0189996676512186
714,253,35.9002036887981,9,0.837498749342882,0.0278140867460996
718,298,41.9177627093064,9,0.858278695456647,0.0264287030465101
780,315,49.9619853651849,9,0.896843753483158,0.0179911891636455
789,436,61.7277674517002,9,0.908612296730098,0.0124208607043059
824,247,34.9623797258728,9,0.827569111099853,0.0264603176747078
875,282,60.9244276966445,9,0.950881206995558,0.0102133332033464
918,596,84.0946498347856,9,0.941610299281457,0.00738510634810519
922,326,64.4054076666463,9,0.956712820367923,0.00750157755643307
942,135,19.109451072218,9,0.77126765703722,0.0229429540145545
957,79,37.6329147800345,9,0.985098742584277,0.00117813685128902
990,158,32.2368504359098,9,0.827870487868856,0.0335194702205059
1002,190,27.0369382266781,9,0.812652013162598,0.027828673952688
1020,152,25.700253790949,9,0.786226385979166,0.0462604809379461
1031,124,31.5128284573504,9,0.841074426788328,0.0345985281918091
1106,255,36.1651141362039,9,0.835970699082105,0.0244052276750332
1178,213,30.1803295785756,9,0.830498599477676,0.0222999444261929
1183,250,35.3356788555487,9,0.834748651581454,0.0330632544354871
1234,330,87.6261116776316,9,0.988861686040945,0.00132506113041349
1237,391,54.6810208912741,9,0.888835619190046,0.0178223850962899
1244,483,68.0536282980985,9,0.9264742101971,0.00871934082946627
1301,318,74.232385320391,9,0.976016841688753,0.00109967143374808
1327,315,44.6071479000052,9,0.869006640651151,0.0213939740624669
1367,363,51.3028233603744,9,0.8862186162843,0.0199771971720898
1384,201,28.4530733400441,9,0.795972307680184,0.040853476236282
1412,496,70.0697294322252,9,0.916391753114931,0.00892488422061788
1481,442,87.419223569025,9,0.9705336229823,0.00213913952483746
1504,346,48.9721509788222,9,0.874044795300186,0.0196674794072574
1541,171,49.3710171566519,9,0.927841100263698,0.0175164788229421
1588,290,41.0721525384965,9,0.864844058133107,0.0301687380170229
1664,39,11.9945501576488,9,0.800738499366549,0.0474220893153728
1692,237,50.0371613517495,9,0.93168473902106,0.00924009691392517
1706,208,29.4633837149111,9,0.818579490875038,0.0283092072774262
1775,113,16.7524571130456,9,0.774950951249109,0.0311959478948935
1786,270,38.2379991102918,9,0.856288027706775,0.0186905434759364
1791,343,48.5224365454795,9,0.88257687429546,0.0162798956420539
1852,593,102.066406343224,9,0.97486829695513,0.00478809144846807
1886,311,43.7955477090603,9,0.863355149119836,0.0273134125161275
1887,383,53.9757535463873,9,0.893316479678192,0.0131973248224213
1919,292,41.3534508502317,9,0.861492119031324,0.0207605662528619
1954,209,43.1192671830813,9,0.884159029207839,0.0243777316501173
1970,295,47.042470867831,9,0.882394670130736,0.0194222534167218
1984,220,34.606504952951,9,0.836799450196727,0.0354788631354028
2042,368,68.049887453214,9,0.944074397987447,0.00960997321801538
2077,171,24.2386597530616,9,0.766593204147966,0.0449764768614601
2081,409,57.896424586454,9,0.899922562418771,0.0173253430342897
2090,276,39.0566249588844,9,0.850892381927666,0.0210074871698469
2098,509,71.3879995294898,9,0.934064691651618,0.0127251335956829
2108,441,62.3742095242631,9,0.910378532109761,0.0142582713079994
2196,277,57.7640389785664,9,0.928318105688844,0.0162197359324292
2199,418,59.1009544188635,9,0.905512007922834,0.0179954001012287
2236,305,42.6787266453509,9,0.854497915543819,0.0211201740862981
2246,404,56.6014089983398,9,0.891922835420424,0.0129898511801424
2284,425,60.2719118620813,9,0.90944603952531,0.0128455299205615
2341,283,39.8483247343366,9,0.840918395106703,0.0254707561774605
2356,375,52.7594943318873,9,0.886665063525424,0.0179029251652328
2358,359,66.8175411315672,9,0.939387852821918,0.00795956237086023
2368,298,42.1831073153248,9,0.85540954306802,0.0213438498518885
2377,167,23.5481341017231,9,0.765974891977757,0.0446660149793037
2462,140,19.8009121066923,9,0.735252444030198,0.0475426388512768
2475,229,32.2111364159088,9,0.808133415811347,0.0311150586417035
2495,375,120.242878885759,9,1.00816075834474,0.00167443621996133
