"locus","K","lambda_min","n_cells","slope","intercept"
13,173,21.5921128213001,9,0.707274926450537,0.116953302807083
124,172,12.2847864361065,9,0.602564923488627,0.125097638880988
169,268,12.4240815241774,9,0.504019597670808,0.172123704155021
374,312,14.4624969534725,9,0.548847486071502,0.163479157477728
403,199,11.1045892451217,9,0.526191604677763,0.215768320235628
436,293,23.3555980246551,9,0.69571803415251,0.093971529996802
477,280,12.9806977268289,9,0.537560789061795,0.170177377406207
559,81,5.28300214741758,9,0.540477003482254,0.137854279243794
560,190,23.8483829998171,9,0.707104957913962,0.126270540923254
587,116,22.4604432533295,9,0.793856399202131,0.0948376970477588
613,331,15.3420804432848,9,0.526806379744634,0.166615887010353
628,122,22.1056265980026,9,0.720966193872926,0.142971466806275
728,316,14.6477874068247,9,0.555089308188847,0.137256986869561
741,240,11.1263064110742,9,0.547536253706748,0.0971412692433512
848,138,6.39680739522069,9,0.501457766888143,0.0797586319716793
853,302,13.9974359120966,9,0.53977726953651,0.16200733890623
854,289,21.4467008868361,9,0.644913564284255,0.130770413770308
886,167,23.0921152950441,9,0.680863390207438,0.152536060135785
909,282,13.0717418095875,9,0.57033371441542,0.105904684723146
918,479,41.2775083108905,9,0.77746394077655,0.0816429318440788
1103,271,42.3493730559776,9,0.811075254057665,0.0915510513359166
1117,440,51.5992101643156,9,0.853659212244225,0.0510690126662896
1162,343,15.9026703826603,9,0.582797715885575,0.132427135637943
1184,118,5.4694630198738,9,0.425132623553981,0.229617527301993
1238,320,14.8346252626682,9,0.550126998390482,0.163056513759687
1324,390,18.0816916655133,9,0.60616314132721,0.0887540424557515
1371,216,16.1514979456263,9,0.631543371709562,0.147121708495761
1392,153,7.0914131313543,9,0.488608120705878,0.146069729444478
1465,338,15.6678972231492,9,0.545621596374313,0.164560507190884
1525,50,3.56300127529307,9,0.319684035372325,0.319634930202225
1530,232,14.0848762546156,9,0.561589452906484,0.178880601787933
1578,101,4.68150244804067,9,0.398538877922877,0.214709005326478
1600,260,12.0522677914656,9,0.539319223468852,0.139973612175008
1657,277,13.7375315667552,9,0.581965031266561,0.0959640531908145
1662,8,2.25082348213957,9,0.637704604116793,0.173663898929428
1722,321,48.7698625082111,9,0.84811527585334,0.0676839222114428
1807,158,7.32379147299526,9,0.488914301032279,0.106393834949338
1830,305,14.1386382604502,9,0.517839178532479,0.163133278649952
1884,161,23.2003798715871,9,0.755014452073608,0.107947657010791
1899,178,13.0485857788139,9,0.552237369589753,0.176828433821407
1907,219,26.3640995059813,9,0.761817401166259,0.0937146700043759
1967,135,18.9406480189447,9,0.630280517052044,0.1725902441327
1979,214,50.5852353136962,9,0.918226526570712,0.0280718233598665
2079,197,9.13183418264626,9,0.514118654624794,0.122758892638904
2129,43,5.46449175450925,9,0.442396087709315,0.30997316687031
2222,358,34.9671570084819,9,0.77601600514938,0.0772432233306903
2246,293,13.5833288161624,9,0.569738366529112,0.116252627283331
2260,109,13.6977770717381,9,0.62870433397513,0.16646211513605
2372,243,40.8258613979218,9,0.817610430273853,0.0855514788733275
