"K","r_e","rho_true","p_lava_1","p_direct_1","p_lava_2","p_direct_2","rho_lava","rho_direct","estimable","bivar_aborted","rel_p","rel_rho","gated"
100,0,-0.8,0.441969,0.441969,0.337113,0.337113,NA,NA,TRUE,FALSE,0,NA,FALSE
100,0,-0.8,0.0605302,0.0605302,0.115882,0.115882,0.0629113,0.0629113,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.65827,0.65827,0.0933942,0.0933942,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.967332,0.967332,0.404116,0.404116,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.535907,0.535907,0.204879,0.204879,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.33758,0.33758,0.133108,0.133108,0.961874,0.961874,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.414229,0.414229,0.0641385,0.0641385,-0.133931,-0.133931,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.183777,0.183777,0.0491949,0.0491949,-0.578514,-0.578514,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.0727091,0.0727091,0.0026038,0.0026038,-0.398106,-0.398106,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.763844,0.763844,0.0643788,0.0643788,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.207491,0.207491,0.43782,0.43782,NA,NA,TRUE,FALSE,0,NA,FALSE
100,0,-0.8,0.108504,0.108504,0.542802,0.542802,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.938776,0.938776,0.83293,0.83293,0.451672,NA,FALSE,FALSE,0,NA,FALSE
100,0,-0.8,0.146703,0.146703,0.0523153,0.0523153,-0.659497,-0.659497,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.648042,0.648042,0.0793701,0.0793701,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.465552,0.465552,0.782517,0.782517,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.709947,0.709947,0.4909,0.4909,NA,NA,FALSE,FALSE,0,NA,FALSE
100,0,-0.8,0.346465,0.346465,0.000432789,0.000432789,0.43832,0.43832,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.494433,0.494433,0.319335,0.319335,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.259105,0.259105,0.019767,0.019767,-0.65377,-0.65377,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.331507,0.331507,0.638861,0.638861,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.485726,0.485726,0.60662,0.60662,NA,NA,FALSE,FALSE,0,NA,FALSE
100,0,-0.8,0.203899,0.203899,0.0654613,0.0654613,-0.585768,-0.585768,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.556343,0.556343,0.156737,0.156737,NA,NA,FALSE,TRUE,0,NA,FALSE
100,0,-0.8,0.0565401,0.0565401,0.139416,0.139416,-0.515167,-0.515167,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.284152,0.284152,0.000438533,0.000438533,-0.286534,-0.286534,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.366558,0.366558,0.180331,0.180331,0.814398,0.814398,TRUE,FALSE,0,0,FALSE
100,0,-0.8,0.238757,0.238757,0.535258,0.535258,NA,NA,FALSE,TRUE,0,NA,FALSE
