pair,trait,role,n_processed,n_estimable,frac_estimable,null_frac_estimable,n_both_estimable,n_pass,obs_pass_rate_cond,null_pass_rate_cond,old_expected_null_passes,new_expected_null_passes,old_enrichment,new_enrichment,old_frac_passes_null,new_frac_passes_null
P4,ASD,weaker,2400,971,0.40458333333333335,0.48769678815073175,906,93,0.10264900662251655,0.10258547273804115,45.300000000000004,92.94243830066529,2.052980132450331,1.0006193263312988,0.4870967741935484,0.9993810569964009
P4,SCZ,stronger,2400,2335,0.9729166666666667,0.48769678815073175,906,636,0.7019867549668874,0.10258547273804115,45.300000000000004,92.94243830066529,14.039735099337749,6.842945070394689,0.07122641509433963,0.14613590927777562
P1,SCZ,weaker,2487,2369,0.9525532770406112,0.4882077083825183,2305,1654,0.7175704989154013,0.10238734011796713,115.25,236.00281897191422,14.351409978308025,7.008390862470317,0.06967956469165659,0.14268610578713073
P1,BIP,stronger,2487,2423,0.9742661841576197,0.4882077083825183,2305,1837,0.7969631236442516,0.10238734011796713,115.25,236.00281897191422,15.939262472885032,7.783805329116065,0.06273816004354926,0.12847186661508667
P2a,MDD,weaker,2483,2153,0.8670962545308095,0.4880472841150379,2082,1023,0.49135446685878964,0.10242169776703317,104.10000000000001,213.24197475096304,9.827089337175792,4.797366940513103,0.10175953079178887,0.20844767815343407
P2a,BIP,stronger,2483,2405,0.9685863874345549,0.4880472841150379,2082,1596,0.7665706051873199,0.10242169776703317,104.10000000000001,213.24197475096304,15.331412103746397,7.4844551681905305,0.06522556390977444,0.13361025986902447
P2b,MDD_noUKB,weaker,2483,1848,0.7442609746274668,0.4880472841150379,1810,633,0.3497237569060773,0.10242189666820295,90.5,185.38363296944735,6.994475138121546,3.414540916372716,0.1429699842022117,0.2928651389722707
P2b,BIP_noUKB,stronger,2483,2434,0.9802658074909384,0.4880472841150379,1810,1518,0.8386740331491712,0.10242189666820295,90.5,185.38363296944735,16.773480662983424,8.188425135945945,0.05961791831357049,0.12212360538171763
P3,ASD,weaker,2424,1017,0.41955445544554454,0.48650325848002623,977,110,0.11258955987717502,0.10286090830257082,48.85,100.49510741161168,2.2517911975435,1.0945806500754094,0.4440909090909091,0.9135918855601062
P3,ADHD,stronger,2424,2384,0.9834983498349835,0.48650325848002623,977,731,0.7482088024564995,0.10286090830257082,48.85,100.49510741161168,14.964176049129989,7.27398595641022,0.06682626538987688,0.13747620712942774
P5,AN,weaker,2458,2435,0.9906427990235964,0.48619494541670233,961,760,0.7908428720083247,0.10292493382565598,48.050000000000004,98.9108614064554,15.816857440166494,7.683685989518627,0.06322368421052632,0.13014587027165184
P5,ASD,stronger,2458,984,0.4003254678600488,0.48619494541670233,961,90,0.09365244536940687,0.10292493382565598,48.050000000000004,98.9108614064554,1.8730489073881373,0.909910182969311,0.533888888888889,1.0990095711828378
