pair,trait,n_estimable,frac_estimable,null_frac_estimable,estimability_deficit,mean_u,median_u,frac_u_below_0p1,ks_stat,ks_p,n_gate_pass,obs_gate_rate_cond,null_gate_rate_cond
P4,ASD,971,0.40458333333333335,0.48769678815073175,-0.0831134548173984,0.491251863881238,0.4754133207142451,0.101956745623069,0.027112399112510177,0.46510489628065077,102,0.10504634397528322,0.10262896404797642
P4,SCZ,2335,0.9729166666666667,0.48769678815073175,0.4852198785159349,0.13312094780489903,0.028740507440862244,0.6762312633832976,0.5907161295165936,0.0,1589,0.6805139186295504,0.102511857536389
P1,SCZ,2369,0.9525532770406112,0.4882077083825183,0.4643455686580929,0.120265924685691,0.02189179171198736,0.7074715069649641,0.6135505433179579,0.0,1683,0.7104263402279443,0.10240644780449155
P1,BIP,2423,0.9742661841576197,0.4882077083825183,0.48605847577510136,0.08558332787281928,0.005814913385672309,0.787866281469253,0.690196375315953,0.0,1912,0.7891044160132068,0.10240791051540324
P2a,MDD,2153,0.8670962545308095,0.4880472841150379,0.3790489704157716,0.22500184241775376,0.11122484436750689,0.48444031583836505,0.41648482323538194,0.0,1052,0.4886205294937297,0.10243882974412033
P2a,BIP,2405,0.9685863874345549,0.4880472841150379,0.48053910331951705,0.09525842104433178,0.009887721259195827,0.7613305613305613,0.6661296838268865,0.0,1838,0.7642411642411643,0.10244805734192769
P2b,MDD_noUKB,1848,0.7442609746274668,0.4880472841150379,0.25621369051242887,0.3167210175919317,0.23025075763350747,0.3446969696969697,0.27219398504439,1.8647161528871685e-121,644,0.3484848484848485,0.10244369855669115
P2b,BIP_noUKB,2434,0.9802658074909384,0.4880472841150379,0.4922185233759005,0.06637450829070791,0.0018209584744342435,0.8315529991783073,0.7343151475512378,0.0,2025,0.8319638455217748,0.10244620452015822
P3,ASD,1017,0.41955445544554454,0.48650325848002623,-0.0669488030344817,0.49127899667051445,0.481109019516773,0.10914454277286136,0.03980910929525611,0.07751348006502123,115,0.11307767944936087,0.10290916107707566
P3,ADHD,2384,0.9834983498349835,0.48650325848002623,0.4969950913549573,0.10933089711275597,0.010181382925199975,0.7374161073825504,0.6380603442525811,0.0,1763,0.739513422818792,0.10276424333944752
P5,AN,2435,0.9906427990235964,0.48619494541670233,0.5044478536068941,0.08659581832874703,0.00787591509971939,0.7868583162217659,0.6888084975821653,0.0,1925,0.7905544147843943,0.10284421073291396
P5,ASD,984,0.4003254678600488,0.48619494541670233,-0.08586947755665353,0.506240302604628,0.5117606984889455,0.09146341463414634,0.019161551487182016,0.8558565191872987,92,0.09349593495934959,0.10295597643394339
