pair,locus,K,theta1,theta2,r_e,cf_slope,cf_intercept,p_gate_joint
P4,3,189,0.148522734558146,0.306831393046587,0.02756,0.7898014875984496,0.011961227372074628,0.3361358341477079
P4,10,261,0.157731177910934,0.240141438965071,0.02756,0.8296337104450137,0.010482998734155667,0.42344489723036854
P4,190,305,0.0463513332135739,0.33556203509209,0.02756,0.5623497023694766,0.014986314637227261,0.1396883926857334
P4,224,366,0.0500604927778245,0.129924844192019,0.02756,0.5165338283161405,0.026005953956023013,0.08639677526482871
P4,232,319,0.046349152568261,0.129375352532617,0.02756,0.47729512325602147,0.028053125704522362,0.0686725479583431
P4,354,126,0.103779679673862,0.140820059055574,0.02756,0.5105798299302152,0.029979086378875693,0.059176745356323134
P4,369,195,0.190350005963255,0.586266872354187,0.02756,0.8818520601064928,0.005081781194642272,0.547230930320156
P4,383,584,0.1039620797188,0.179756939803765,0.02756,0.8349717551332424,0.009099878266895262,0.468011452065066
P4,466,423,0.194587858954891,0.454158015253442,0.02756,0.9603893180153719,0.0017787780647308573,0.8345639819890043
P4,667,234,0.0711537398834298,0.128650073737763,0.02756,0.5162998244954811,0.02817226954635914,0.0729597651605655
P4,698,424,0.0603858206642543,0.16321496442867,0.02756,0.6206578693529378,0.019423117463140408,0.15943591080013972
P4,712,146,0.0463523935886437,0.357520537427849,0.02756,0.4841959919843148,0.020556161355548244,0.09163285820631807
P4,751,246,0.046354473912475,0.16901193259906,0.02756,0.47606574438965704,0.026746593333957472,0.07198065224353822
P4,781,418,0.0912743752842091,0.129538385288059,0.02756,0.6823393534424891,0.018935275226537308,0.20179368614295284
P4,848,182,0.0706475477570007,0.668720756216221,0.02756,0.6198657635387681,0.011098696646617631,0.16680943823747832
P4,852,350,0.0657045630470269,0.38333905017696,0.02756,0.6694820445702002,0.011120027023453114,0.21715877303222808
P4,917,396,0.0463653587330179,0.282603112965309,0.02756,0.5881452925001611,0.014693864770991681,0.15672943413627477
P4,942,133,0.0621836193157562,0.43695474944089,0.02756,0.5508773024089733,0.0174264856173554,0.11907047505815806
P4,1064,239,0.116917352394963,0.202479019257354,0.02756,0.7142906852917589,0.016994872465552507,0.22722023246371215
P4,1165,315,0.04635171416248,0.337387143633092,0.02756,0.5660238139171546,0.014696606516310138,0.14226556560545872
