pair,trait,n_estimable,obs_frac_estimable,null_frac_estimable_c1,c_hat,ks_p_c1,mean_u_c1,ks_p_recal,mean_u_recal,obs_gate_rate_cond,null_gate_rate_c1,null_gate_rate_recal,enrich_c1,enrich_recal
P4,ASD,971,0.40458333333333335,0.48769678815073175,0.9818130010899028,0.46510489628065077,0.491251863881238,1.546176316617353e-05,0.45686630076442125,0.10504634397528322,0.10262896404797642,0.07752339609469606,1.0235545584010448,1.3550276338122162
P4,SCZ,2335,0.9729166666666667,0.48769678815073175,1.214300865500281,0.0,0.13312094780489903,9.26997926718783e-12,0.5235305428805455,0.6805139186295504,0.102511857536389,0.7312715623131436,6.63839223075229,0.9305898843884511
P1,SCZ,2369,0.9525532770406112,0.4882077083825183,1.168927739855718,0.0,0.120265924685691,8.9658396632358e-46,0.4125506321037281,0.7104263402279443,0.10240644780449155,0.6249494330982972,6.937320407639263,1.1367741173967951
P1,BIP,2423,0.9742661841576197,0.4882077083825183,1.2074988996192515,0.0,0.08558332787281928,1.3499673857420614e-54,0.4077907418939908,0.7891044160132068,0.10240791051540324,0.7407699387941181,7.705502553872702,1.065248972302752
P2a,MDD,2153,0.8670962545308095,0.4880472841150379,1.1057255061934723,0.0,0.22500184241775376,3.461588788768852e-27,0.43005833485977485,0.4886205294937297,0.10243882974412033,0.3952813639791945,4.769876136951623,1.2361334836909945
P2a,BIP,2405,0.9685863874345549,0.4880472841150379,1.1972892519800116,0.0,0.09525842104433178,1.1990071818517331e-46,0.41283282712338426,0.7642411642411643,0.10244805734192769,0.7081628092971675,7.459791664867348,1.079188506100247
P2b,MDD_noUKB,1848,0.7442609746274668,0.4880472841150379,1.0605216519668195,1.8647161528871685e-121,0.3167210175919317,4.0805977403664415e-20,0.43766874106450165,0.3484848484848485,0.10244369855669115,0.2430886504451534,3.401720685552963,1.4335710361083889
P2b,BIP_noUKB,2434,0.9802658074909384,0.4880472841150379,1.2285647149220704,0.0,0.06637450829070791,7.520383086471875e-103,0.3764377583136169,0.8319638455217748,0.10244620452015822,0.7875309672535663,8.120982611494115,1.0564204839120976
P3,ASD,1017,0.41955445544554454,0.48650325848002623,0.9841123188370473,0.07751348006502123,0.49127899667051445,5.743278636258656e-06,0.4637542288436527,0.11307767944936087,0.10290916107707566,0.08209730792413952,1.0988106235232966,1.3773616006245684
P3,ADHD,2384,0.9834983498349835,0.48650325848002623,1.281820401752473,0.0,0.10933089711275597,3.1814205724920584e-21,0.5322522071928508,0.739513422818792,0.10276424333944752,0.8221257740974858,7.196213379162002,0.8995137314976117
P5,AN,2435,0.9906427990235964,0.48619494541670233,1.3507312087880177,0.0,0.08659581832874703,4.760186030886887e-106,0.6415495791354473,0.7905544147843943,0.10284421073291396,0.898566645204797,7.686912166961553,0.8797949701373735
P5,ASD,984,0.4003254678600488,0.48619494541670233,0.9793397254705575,0.8558565191872987,0.506240302604628,0.0038227238646121276,0.47097640065696683,0.09349593495934959,0.10295597643394339,0.07692268338245672,0.9081156645562644,1.2154533727651085
