"locus","chr","start","stop","processed","K","n_snps","h2_SCZ","h2_BIP","p_SCZ","p_BIP","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
1,1,10539,1376204,TRUE,202,1432,2.35853e-05,0.000182782,0.428718,0.000766137,FALSE,NA,NA,NA,NA,NA,NA,2,NA
2,1,1376205,2215495,TRUE,175,1246,0.000334664,0.000131356,0.0147453,0.00500927,TRUE,0.443188,0.443188,FALSE,-0.39737,1,0.207596,2,NA
3,1,2215496,2983519,TRUE,293,1586,0.000414524,0.000343238,0.0175079,5.39564e-07,TRUE,0.44845,0.44845,FALSE,-0.08032,1,0.0874398,2,NA
4,1,2983520,3582047,TRUE,337,1564,0.000569119,5.37893e-05,0.00364826,0.204714,FALSE,NA,NA,NA,NA,NA,NA,2,NA
5,1,3582048,4281476,TRUE,267,1897,NA,0.000187673,NA,0.00156177,FALSE,NA,NA,NA,NA,NA,NA,1,"SCZ"
6,1,4281477,4773403,TRUE,273,1925,0.000126822,0.00010723,0.237126,0.0374494,FALSE,NA,NA,NA,NA,NA,NA,2,NA
7,1,4773404,5362404,TRUE,330,1812,0.000615312,0.000230398,0.00186775,0.00048603,TRUE,0.401998,0.401998,FALSE,-0.16861,0.97794,0.130857,2,NA
8,1,5362405,6136814,TRUE,319,1875,0.000562853,0.000198155,0.00332005,0.0017559,TRUE,0.32541,0.32541,FALSE,-0.34695,0.94416,0.262171,2,NA
9,1,6136815,7711794,TRUE,506,3299,0.000512515,0.000278256,0.0221707,0.00056876,TRUE,0.154751,0.154751,FALSE,-0.74673,0.83527,0.618808,2,NA
10,1,7711795,8580987,TRUE,278,1880,0.000537781,7.2666e-05,0.00285916,0.110457,FALSE,NA,NA,NA,NA,NA,NA,2,NA
11,1,8580988,9475966,TRUE,365,1781,0.0001716,0.000151673,0.20351,0.015615,FALSE,NA,NA,NA,NA,NA,NA,2,NA
12,1,9475967,10753427,TRUE,300,2179,0.000284323,0.000102271,0.0715062,0.0537564,FALSE,NA,NA,NA,NA,NA,NA,2,NA
13,1,10753428,11709173,TRUE,337,2018,0.000676356,8.62072e-05,0.000872282,0.10784,FALSE,NA,NA,NA,NA,NA,NA,2,NA
14,1,11709174,13481025,TRUE,367,2544,0.000422742,0.000139324,0.0252388,0.0251949,TRUE,0.0112371,0.0112371,FALSE,-1,0.86883,0.977829,2,NA
15,1,13481026,14720131,TRUE,416,2768,0.00048609,0.000286643,0.0176034,0.000120097,TRUE,0.0441598,0.0441598,FALSE,-0.82644,0.62468,0.879537,2,NA
16,1,14720132,15755230,TRUE,525,2882,0.000451947,5.37295e-05,0.039193,0.250843,FALSE,NA,NA,NA,NA,NA,NA,2,NA
17,1,15755231,16732168,TRUE,220,2260,0.000306257,2.17454e-05,0.0340894,0.330464,FALSE,NA,NA,NA,NA,NA,NA,2,NA
18,1,16732169,17557746,TRUE,175,1108,0.00018712,0.000107413,0.101086,0.0157403,FALSE,NA,NA,NA,NA,NA,NA,2,NA
19,1,17557747,18427820,TRUE,358,2175,0.000173567,0.00021263,0.198364,0.00151986,FALSE,NA,NA,NA,NA,NA,NA,2,NA
20,1,18427821,19238924,TRUE,466,2317,0.000351887,6.99723e-05,0.0709103,0.178406,FALSE,NA,NA,NA,NA,NA,NA,2,NA
21,1,19238925,20556202,TRUE,437,3377,0.000188961,0.000224925,0.202592,0.00197646,FALSE,NA,NA,NA,NA,NA,NA,2,NA
22,1,20556203,21416121,TRUE,230,1897,0.0004706,8.1391e-05,0.00407432,0.0702599,FALSE,NA,NA,NA,NA,NA,NA,2,NA
23,1,21416122,22145629,TRUE,261,1845,0.000770894,0.000257224,4.11415e-05,2.72261e-05,TRUE,0.100895,0.100895,FALSE,-0.41977,0.50249,0.638551,2,NA
24,1,22145630,22740287,TRUE,254,1734,0.000272982,0.000105269,0.0636749,0.0363468,FALSE,NA,NA,NA,NA,NA,NA,2,NA
25,1,22740288,23907045,TRUE,331,1968,0.000222266,0.000181152,0.133537,0.00419311,FALSE,NA,NA,NA,NA,NA,NA,2,NA
26,1,23907046,25885138,TRUE,515,3330,0.00083528,0.000198076,0.000756395,0.00940526,TRUE,0.0526742,0.0526742,FALSE,-0.82339,0.64829,0.856873,2,NA
27,1,25885139,27992665,TRUE,427,3051,0.00121836,0.000244942,6.1892e-07,0.000961609,TRUE,0.0370213,0.0370213,FALSE,-0.51628,0.43969,0.86322,2,NA
28,1,27992666,29188426,TRUE,224,1942,0.000539772,6.01512e-05,0.00127428,0.14678,FALSE,NA,NA,NA,NA,NA,NA,2,NA
29,1,29188427,30405182,TRUE,360,2288,0.000812348,0.000184063,0.000151604,0.0047025,TRUE,0.263705,0.263705,FALSE,-0.39,0.83865,0.325275,2,NA
30,1,30405183,31639217,TRUE,403,2965,0.00110091,0.000259022,2.72937e-06,0.00037015,TRUE,0.0857707,0.0857707,FALSE,-0.43743,0.48855,0.687287,2,NA
31,1,31639218,33066846,TRUE,312,2178,0.000464348,0.000226119,0.0112313,0.000426853,TRUE,-0.337482,-0.337482,FALSE,-1,0.23639,0.255292,2,NA
32,1,33066847,34371022,TRUE,335,2155,0.00038564,0.000363792,0.0311218,3.17893e-07,TRUE,0.048633,0.048633,FALSE,-0.7529,0.62734,0.859239,2,NA
33,1,34371023,35201626,TRUE,345,2063,0.000595462,0.000162482,0.00296792,0.0100836,TRUE,-0.283325,-0.283325,FALSE,-1,0.31652,0.375241,2,NA
34,1,35201627,36855139,TRUE,274,1667,9.45284e-05,0.000194821,0.294668,0.00119369,FALSE,NA,NA,NA,NA,NA,NA,2,NA
35,1,36855140,38474036,TRUE,505,3372,0.000515729,0.000122403,0.0208757,0.0664181,FALSE,NA,NA,NA,NA,NA,NA,2,NA
36,1,38474037,40200950,TRUE,483,3280,0.000824142,0.000732122,0.000658712,5.84821e-16,TRUE,0.29737,0.29737,FALSE,-0.04692,0.62902,0.0816363,2,NA
37,1,40200951,41093875,TRUE,241,1851,0.000624398,0.000116281,0.000377101,0.0217561,TRUE,0.126873,0.126873,FALSE,-0.82861,0.80718,0.689984,2,NA
38,1,41093876,41977966,TRUE,285,2155,0.000721898,0.000278636,0.00017789,1.34086e-05,TRUE,0.492178,0.492178,FALSE,0.0803,0.93562,0.0258865,2,NA
39,1,41977967,43512669,TRUE,315,3036,0.000675693,0.000246223,0.000630236,0.000172917,TRUE,0.320226,0.320226,FALSE,-0.20131,0.80598,0.191138,2,NA
40,1,43512670,45167235,TRUE,385,2971,0.000753366,0.000169151,0.000561466,0.010857,TRUE,0.45805,0.45805,FALSE,-0.16743,1,0.122189,2,NA
41,1,45167236,47257261,TRUE,285,3292,2.38873e-05,0.000347622,0.437707,1.83306e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
42,1,47257262,48105233,TRUE,192,1540,0.000146548,0.000111589,0.164909,0.0151964,FALSE,NA,NA,NA,NA,NA,NA,2,NA
43,1,48105234,49185414,TRUE,304,2055,0.00104929,0.00016795,5.76704e-07,0.00538504,TRUE,-0.0651718,-0.0651718,FALSE,-0.74978,0.39272,0.786282,2,NA
