"locus","chr","start","stop","processed","K","n_snps","h2_MDD","h2_BIP","p_MDD","p_BIP","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
1,1,10539,1376204,TRUE,201,1421,0.000430794,0.000166921,0.000667104,0.00169,TRUE,0.189104,0.189104,FALSE,-0.42951,0.82437,0.489608,2,NA
2,1,1376205,2215495,TRUE,171,1235,1.1879e-05,8.72906e-05,0.444081,0.0365933,FALSE,NA,NA,NA,NA,NA,NA,2,NA
3,1,2215496,2983519,TRUE,289,1560,0.000637735,0.000291227,2.57158e-05,1.01128e-05,TRUE,-0.0667198,-0.0667198,FALSE,-0.5522,0.33337,0.743451,2,NA
4,1,2983520,3582047,TRUE,334,1544,0.00026131,4.05646e-05,0.0490053,0.262351,FALSE,NA,NA,NA,NA,NA,NA,2,NA
5,1,3582048,4281476,TRUE,264,1882,5.81216e-05,0.000203024,0.326225,0.000707977,FALSE,NA,NA,NA,NA,NA,NA,2,NA
6,1,4281477,4773403,TRUE,272,1915,0.000237383,9.74158e-05,0.0479638,0.0514475,FALSE,NA,NA,NA,NA,NA,NA,2,NA
7,1,4773404,5362404,TRUE,328,1796,0.000315394,0.000196738,0.0218511,0.00210959,TRUE,-0.389486,-0.389486,FALSE,-1,0.26739,0.242299,2,NA
8,1,5362405,6136814,TRUE,318,1860,0.000379256,0.000193337,0.00774664,0.00211375,TRUE,-0.213967,-0.213967,FALSE,-1,0.39789,0.483218,2,NA
9,1,6136815,7711794,TRUE,500,3244,0.000509254,0.000212761,0.00468812,0.00519567,TRUE,-0.104366,-0.104366,FALSE,-1,0.51738,0.7316,2,NA
10,1,7711795,8580987,TRUE,272,1862,0.000379796,6.21833e-05,0.00464634,0.142363,FALSE,NA,NA,NA,NA,NA,NA,2,NA
11,1,8580988,9475966,TRUE,359,1757,0.000459784,0.000142988,0.00292311,0.0198038,TRUE,-0.0312923,-0.0312923,FALSE,-1,0.69766,0.925075,2,NA
12,1,9475967,10753427,TRUE,294,2147,0.000168049,7.81117e-05,0.124494,0.103439,FALSE,NA,NA,NA,NA,NA,NA,2,NA
13,1,10753428,11709173,TRUE,333,2003,0.000451963,0.000109778,0.00336466,0.0583057,FALSE,NA,NA,NA,NA,NA,NA,2,NA
14,1,11709174,13481025,TRUE,366,2534,0.000412476,0.00015798,0.00716028,0.0137022,TRUE,0.574369,0.574369,FALSE,-0.09599,1,0.0914709,2,NA
15,1,13481026,14720131,TRUE,412,2742,0.00016757,0.000271387,0.158733,0.000223991,FALSE,NA,NA,NA,NA,NA,NA,2,NA
16,1,14720132,15755230,TRUE,517,2849,NA,3.46156e-06,NA,0.47462,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
17,1,15755231,16732168,TRUE,216,2238,2.59311e-05,2.83137e-05,0.403806,0.285935,FALSE,NA,NA,NA,NA,NA,NA,2,NA
18,1,16732169,17557746,TRUE,171,1095,NA,0.000109903,NA,0.0130705,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD"
19,1,17557747,18427820,TRUE,353,2155,0.000252002,0.000195232,0.056711,0.0028953,FALSE,NA,NA,NA,NA,NA,NA,2,NA
