"locus","chr","start","stop","processed","K","n_snps","h2_AN","h2_ASD","p_AN","p_ASD","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
1,1,10539,1376204,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1376205,2215495,TRUE,75,895,0.00169916,1.75994e-05,4.77196e-10,0.451932,FALSE,NA,NA,NA,NA,NA,NA,2,NA
3,1,2215496,2983519,TRUE,147,1256,0.0016333,0.000210163,1.41191e-06,0.275985,FALSE,NA,NA,NA,NA,NA,NA,2,NA
4,1,2983520,3582047,TRUE,167,1008,0.000782887,NA,0.00749671,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
5,1,3582048,4281476,TRUE,145,1490,0.00124549,NA,2.00439e-05,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
6,1,4281477,4773403,TRUE,242,1820,0.00128221,0.000164556,9.56896e-05,0.354428,FALSE,NA,NA,NA,NA,NA,NA,2,NA
7,1,4773404,5362404,TRUE,261,1779,0.00114202,NA,0.000598493,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
8,1,5362405,6136814,TRUE,212,1641,0.00156409,0.000432256,5.46627e-06,0.164424,FALSE,NA,NA,NA,NA,NA,NA,2,NA
9,1,6136815,7711794,TRUE,384,3104,0.00187584,0.000525226,1.80593e-05,0.188105,FALSE,NA,NA,NA,NA,NA,NA,2,NA
10,1,7711795,8580987,TRUE,221,1828,0.000490309,0.000618133,0.0557651,0.0901064,FALSE,NA,NA,NA,NA,NA,NA,2,NA
11,1,8580988,9475966,TRUE,304,1711,0.0014412,0.000315657,0.000127814,0.270535,FALSE,NA,NA,NA,NA,NA,NA,2,NA
12,1,9475967,10753427,TRUE,190,1987,0.00104561,NA,0.000465187,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
13,1,10753428,11709173,TRUE,196,1673,0.00112592,0.000181678,0.000381743,0.325275,FALSE,NA,NA,NA,NA,NA,NA,2,NA
14,1,11709174,13481025,TRUE,225,2222,0.0011301,NA,0.000726146,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
15,1,13481026,14720131,TRUE,327,2675,0.00126488,0.000572135,0.000988956,0.149956,FALSE,NA,NA,NA,NA,NA,NA,2,NA
16,1,14720132,15755230,TRUE,360,2536,0.00154469,NA,0.000159838,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
17,1,15755231,16732168,TRUE,155,2246,0.000553347,NA,0.0183037,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
18,1,16732169,17557746,TRUE,98,850,0.000339402,6.81805e-05,0.0570901,0.393245,FALSE,NA,NA,NA,NA,NA,NA,2,NA
19,1,17557747,18427820,TRUE,257,2028,0.00149492,0.000441152,1.86554e-05,0.181778,FALSE,NA,NA,NA,NA,NA,NA,2,NA
20,1,18427821,19238924,TRUE,346,2074,0.00126149,NA,0.00110651,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
21,1,19238925,20556202,TRUE,338,3217,0.00194748,NA,1.35243e-06,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
22,1,20556203,21416121,TRUE,201,1913,0.00097552,NA,0.000839818,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
23,1,21416122,22145629,TRUE,232,1813,0.000942594,NA,0.00217111,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
24,1,22145630,22740287,TRUE,228,1855,0.000700024,NA,0.0145834,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
25,1,22740288,23907045,TRUE,248,1897,0.000318397,NA,0.159113,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
26,1,23907046,25885138,TRUE,379,3135,0.000967094,NA,0.010201,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
27,1,25885139,27992665,TRUE,253,2742,0.000403166,NA,0.109785,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
28,1,27992666,29188426,TRUE,128,1782,0.0014218,NA,3.03608e-07,NA,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
