locus	chr	start	stop	phen	h2.obs	h2.latent	ascertained	p
1	1	10539	1376204	ASD	0.000253163	0.000407749	FALSE	0.201959
2	1	1376205	2215495	ASD	0.000429098	0.000691112	FALSE	0.1077
2	1	1376205	2215495	SCZ	0.000432062	0.000691994	FALSE	0.000796146
3	1	2215496	2983519	ASD	0.000605273	0.000974863	FALSE	0.0789989
3	1	2215496	2983519	SCZ	0.000451251	0.000722728	FALSE	0.00292289
4	1	2983520	3582047	SCZ	0.00049065	0.00078583	FALSE	0.00205704
6	1	4281477	4773403	ASD	0.000104105	0.000167672	FALSE	0.405703
6	1	4281477	4773403	SCZ	0.000116238	0.000186168	FALSE	0.249491
7	1	4773404	5362404	SCZ	0.000533162	0.000853917	FALSE	0.00428897
8	1	5362405	6136814	ASD	0.000852575	0.00137317	FALSE	0.0519367
8	1	5362405	6136814	SCZ	0.000555365	0.000889478	FALSE	0.00221568
9	1	6136815	7711794	ASD	0.000706585	0.00113804	FALSE	0.136524
9	1	6136815	7711794	SCZ	0.000517844	0.000829384	FALSE	0.0150293
10	1	7711795	8580987	ASD	0.000887426	0.0014293	FALSE	0.0405959
10	1	7711795	8580987	SCZ	0.000483109	0.000773751	FALSE	0.00495788
11	1	8580988	9475966	ASD	0.000766365	0.00123432	FALSE	0.0880142
11	1	8580988	9475966	SCZ	0.000284348	0.000455414	FALSE	0.0805298
12	1	9475967	10753427	SCZ	0.000152137	0.000243664	FALSE	0.191182
13	1	10753428	11709173	ASD	0.000374895	0.000603812	FALSE	0.217894
13	1	10753428	11709173	SCZ	0.000634409	0.00101608	FALSE	0.00044128
14	1	11709174	13481025	SCZ	0.000583022	0.000933773	FALSE	0.00165762
15	1	13481026	14720131	ASD	0.000431621	0.000695176	FALSE	0.230065
15	1	13481026	14720131	SCZ	0.000475537	0.000761624	FALSE	0.0155505
16	1	14720132	15755230	SCZ	5.85737e-05	9.38122e-05	FALSE	0.391027
17	1	15755231	16732168	SCZ	0.000271869	0.000435429	FALSE	0.0465539
18	1	16732169	17557746	ASD	6.44491e-05	0.000103803	FALSE	0.418236
18	1	16732169	17557746	SCZ	0.000185403	0.000296942	FALSE	0.0897364
19	1	17557747	18427820	ASD	0.000809846	0.00130435	FALSE	0.068783
19	1	17557747	18427820	SCZ	0.000122244	0.000195787	FALSE	0.255774
20	1	18427821	19238924	SCZ	0.000458447	0.000734254	FALSE	0.0215911
21	1	19238925	20556202	SCZ	0.000186312	0.0002984	FALSE	0.194448
22	1	20556203	21416121	SCZ	0.000450725	0.000721885	FALSE	0.0045284
23	1	21416122	22145629	SCZ	0.000763844	0.00122338	FALSE	3.23036e-05
24	1	22145630	22740287	SCZ	0.000282732	0.000452826	FALSE	0.0551406
25	1	22740288	23907045	SCZ	9.35523e-05	0.000149834	FALSE	0.303411
26	1	23907046	25885138	SCZ	0.00072042	0.00115383	FALSE	0.0018623
27	1	25885139	27992665	SCZ	0.000826208	0.00132326	FALSE	0.000115777
28	1	27992666	29188426	SCZ	0.000487919	0.000781455	FALSE	0.00198782
29	1	29188427	30405182	SCZ	0.000770652	0.00123428	FALSE	0.000146824
30	1	30405183	31639217	ASD	7.10045e-06	1.14361e-05	FALSE	0.485179
30	1	30405183	31639217	SCZ	0.00107411	0.0017203	FALSE	1.50137e-06
31	1	31639218	33066846	SCZ	0.000450987	0.000722306	FALSE	0.00861479
32	1	33066847	34371022	ASD	2.65473e-05	4.27574e-05	FALSE	0.46869
32	1	33066847	34371022	SCZ	0.000373232	0.000597772	FALSE	0.0265938
33	1	34371023	35201626	SCZ	0.000445415	0.000713381	FALSE	0.0143479
34	1	35201627	36855139	ASD	0.000145921	0.000235023	FALSE	0.360715
34	1	35201627	36855139	SCZ	0.000248409	0.000397854	FALSE	0.0654031
35	1	36855140	38474036	SCZ	0.000603028	0.000965815	FALSE	0.00569565
36	1	38474037	40200950	SCZ	0.000862052	0.00138067	FALSE	0.000195865
37	1	40200951	41093875	ASD	0.000306399	0.00049349	FALSE	0.243591
37	1	40200951	41093875	SCZ	0.000638376	0.00102243	FALSE	0.000176799
38	1	41093876	41977966	SCZ	0.000634885	0.00101684	FALSE	0.000637558
39	1	41977967	43512669	ASD	0.00136671	0.00220124	FALSE	0.0061793
39	1	41977967	43512669	SCZ	0.000653363	0.00104643	FALSE	0.000565655
