"locus","chr","start","stop","processed","K","n_snps","h2_ASD","h2_SCZ","p_ASD","p_SCZ","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p"
1,1,10539,1376204,TRUE,103,912,0.000253163,NA,0.201959,NA,FALSE,NA,NA,NA,NA,NA,NA
2,1,1376205,2215495,TRUE,125,1059,0.000429098,0.000432062,0.1077,0.000796146,FALSE,NA,NA,NA,NA,NA,NA
3,1,2215496,2983519,TRUE,189,1277,0.000605273,0.000451251,0.0789989,0.00292289,FALSE,NA,NA,NA,NA,NA,NA
4,1,2983520,3582047,TRUE,212,1135,NA,0.00049065,NA,0.00205704,FALSE,NA,NA,NA,NA,NA,NA
5,1,3582048,4281476,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,4281477,4773403,TRUE,262,1816,0.000104105,0.000116238,0.405703,0.249491,FALSE,NA,NA,NA,NA,NA,NA
7,1,4773404,5362404,TRUE,307,1751,NA,0.000533162,NA,0.00428897,FALSE,NA,NA,NA,NA,NA,NA
8,1,5362405,6136814,TRUE,280,1787,0.000852575,0.000555365,0.0519367,0.00221568,FALSE,NA,NA,NA,NA,NA,NA
9,1,6136815,7711794,TRUE,444,3104,0.000706585,0.000517844,0.136524,0.0150293,FALSE,NA,NA,NA,NA,NA,NA
10,1,7711795,8580987,TRUE,261,1846,0.000887426,0.000483109,0.0405959,0.00495788,TRUE,0.253335,0.253335,FALSE,-0.67302,1,0.499454
11,1,8580988,9475966,TRUE,335,1711,0.000766365,0.000284348,0.0880142,0.0805298,FALSE,NA,NA,NA,NA,NA,NA
12,1,9475967,10753427,TRUE,258,2079,NA,0.000152137,NA,0.191182,FALSE,NA,NA,NA,NA,NA,NA
13,1,10753428,11709173,TRUE,257,1805,0.000374895,0.000634409,0.217894,0.00044128,FALSE,NA,NA,NA,NA,NA,NA
14,1,11709174,13481025,TRUE,290,2336,NA,0.000583022,NA,0.00165762,FALSE,NA,NA,NA,NA,NA,NA
15,1,13481026,14720131,TRUE,379,2651,0.000431621,0.000475537,0.230065,0.0155505,FALSE,NA,NA,NA,NA,NA,NA
16,1,14720132,15755230,TRUE,442,2690,NA,5.85737e-05,NA,0.391027,FALSE,NA,NA,NA,NA,NA,NA
17,1,15755231,16732168,TRUE,207,2211,NA,0.000271869,NA,0.0465539,FALSE,NA,NA,NA,NA,NA,NA
18,1,16732169,17557746,TRUE,155,1053,6.44491e-05,0.000185403,0.418236,0.0897364,FALSE,NA,NA,NA,NA,NA,NA
19,1,17557747,18427820,TRUE,307,2047,0.000809846,0.000122244,0.068783,0.255774,FALSE,NA,NA,NA,NA,NA,NA
20,1,18427821,19238924,TRUE,405,2187,NA,0.000458447,NA,0.0215911,FALSE,NA,NA,NA,NA,NA,NA
21,1,19238925,20556202,TRUE,401,3239,NA,0.000186312,NA,0.194448,FALSE,NA,NA,NA,NA,NA,NA
22,1,20556203,21416121,TRUE,218,1860,NA,0.000450725,NA,0.0045284,FALSE,NA,NA,NA,NA,NA,NA
23,1,21416122,22145629,TRUE,248,1811,NA,0.000763844,NA,3.23036e-05,FALSE,NA,NA,NA,NA,NA,NA
24,1,22145630,22740287,TRUE,247,1711,NA,0.000282732,NA,0.0551406,FALSE,NA,NA,NA,NA,NA,NA
