locus	chr	start	stop	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
10	1	7711795	8580987	ASD	SCZ	0.253335	-0.64337	1	0.0641786	0	1	0.499886
39	1	41977967	43512669	ASD	SCZ	0.184068	-0.4621	0.91414	0.0338812	0	0.91214	0.516669
48	1	55727135	56799636	ASD	SCZ	0.52806	-0.04273	1	0.278847	0	1	0.0754404
56	1	65894185	66778015	ASD	SCZ	0.519352	-0.13904	1	0.269726	0	1	0.121307
84	1	96147577	97721186	ASD	SCZ	0.405482	-0.09893	1	0.164415	0	1	0.10741
85	1	97721187	99425000	ASD	SCZ	0.482708	0.08893	1	0.233007	0.00967	1	0.0169137
95	1	107874654	109271449	ASD	SCZ	-0.393859	-1	0.62264	0.155125	0	1	0.378226
131	1	173582512	175385220	ASD	SCZ	0.478305	-0.15702	1	0.228775	0	1	0.126598
142	1	187072606	187757076	ASD	SCZ	0.177205	-0.55398	1	0.0314018	0	1	0.566292
152	1	197935822	199263389	ASD	SCZ	-0.114547	-0.97706	0.54993	0.013121	0	1	0.696246
176	1	226534712	228045554	ASD	SCZ	0.254334	-0.44351	1	0.064686	0	1	0.411503
292	2	86867033	88547312	ASD	SCZ	0.887065	0.0162	1	0.786885	0.01771	1	0.0560834
293	2	88547313	91860961	ASD	SCZ	-0.380105	-1	0.68257	0.14448	0	1	0.406342
301	2	105120579	106546524	ASD	SCZ	0.343193	-0.51428	1	0.117781	0	1	0.353267
313	2	121073753	122026817	ASD	SCZ	-0.416788	-1	0.16628	0.173712	0	1	0.160567
369	2	184866233	186244920	ASD	SCZ	-0.121403	-0.92467	0.53223	0.0147388	0	0.98653	0.670277
383	2	205038120	206821199	ASD	SCZ	0.442037	-0.26174	1	0.195397	0	1	0.197447
397	2	220771553	221445191	ASD	SCZ	0.0153633	-1	1	0.000236031	0	1	0.96732
418	2	240325601	241113279	ASD	SCZ	0.238466	-0.61106	1	0.0568662	0	1	0.499092
461	3	42301658	44141693	ASD	SCZ	0.46134	-0.09221	1	0.212835	0	1	0.0986802
462	3	44141694	45844191	ASD	SCZ	0.310724	-0.2064	1	0.0965497	0	1	0.219266
466	3	51953969	54074844	ASD	SCZ	0.592474	0.20223	1	0.351025	0.04221	1	0.00486397
579	3	179372166	181424323	ASD	SCZ	0.246954	-0.25278	0.85632	0.0609861	0	0.73952	0.28654
705	4	118395263	119138097	ASD	SCZ	-0.0230614	-1	0.95783	0.000531826	0	1	0.950316
746	4	163937104	164781847	ASD	SCZ	0.190452	-1	1	0.0362721	0	1	0.657366
783	5	6936734	8079415	ASD	SCZ	0.486265	0.01031	1	0.236453	0.00319	1	0.0476423
830	5	63214090	64438518	ASD	SCZ	0.74293	0.08056	1	0.551945	0.0152	1	0.0332471
870	5	113121556	113998532	ASD	SCZ	0.0533462	-0.71616	0.8369	0.00284582	0	0.97645	0.860677
939	6	16566883	17391994	ASD	SCZ	1	0.37239	1	1	0.13897	1	0.00255506
954	6	29529756	29833843	ASD	SCZ	0.246162	-0.17482	0.70705	0.0605957	0	0.50052	0.227978
955	6	29833844	30070717	ASD	SCZ	0.134838	-0.41567	0.75931	0.0181813	0	0.6227	0.591087
957	6	30715007	31106493	ASD	SCZ	0.017797	-0.51226	0.55241	0.000316733	0	0.43447	0.937529
968	6	32897999	33194975	ASD	SCZ	0.37714	-0.17039	1	0.142235	0	1	0.162161
974	6	38688721	39785907	ASD	SCZ	0.826923	0.03262	1	0.683802	0.0133	1	0.0448773
