"locus","chr","start","stop","processed","K","n_snps","h2_ASD","h2_ADHD","p_ASD","p_ADHD","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
1,1,10539,1376204,FALSE,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1376205,2215495,TRUE,57,706,NA,7.41553e-05,NA,0.0797804,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
3,1,2215496,2983519,TRUE,54,668,0.000318693,8.80287e-05,0.0849673,0.044812,FALSE,NA,NA,NA,NA,NA,NA,2,NA
4,1,2983520,3582047,TRUE,87,664,0.000194885,1.08996e-05,0.238022,0.414688,FALSE,NA,NA,NA,NA,NA,NA,2,NA
5,1,3582048,4281476,TRUE,125,1368,NA,7.5778e-05,NA,0.156517,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
6,1,4281477,4773403,TRUE,254,1800,5.16237e-05,0.000534007,0.44615,2.08142e-06,FALSE,NA,NA,NA,NA,NA,NA,2,NA
7,1,4773404,5362404,TRUE,286,1721,NA,9.98857e-05,NA,0.177834,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
8,1,5362405,6136814,TRUE,225,1640,0.000655836,0.000588309,0.080007,1.23365e-07,FALSE,NA,NA,NA,NA,NA,NA,2,NA
9,1,6136815,7711794,TRUE,365,2780,0.000953294,0.000165644,0.0548516,0.0966552,FALSE,NA,NA,NA,NA,NA,NA,2,NA
10,1,7711795,8580987,TRUE,230,1792,0.000824857,0.000288711,0.0423197,0.00311187,TRUE,-0.793346,-0.793346,FALSE,-1,-0.03503,0.0360168,2,NA
11,1,8580988,9475966,TRUE,296,1623,0.000531454,8.01072e-05,0.155454,0.232477,FALSE,NA,NA,NA,NA,NA,NA,2,NA
12,1,9475967,10753427,TRUE,191,1893,NA,0.000121264,NA,0.0924169,FALSE,NA,NA,NA,NA,NA,NA,1,"ASD"
