"locus","chr","start","stop","processed","K","n_snps","h2_MDD_noUKB","h2_BIP_noUKB","p_MDD_noUKB","p_BIP_noUKB","gate_pass","rho_hat","rho_raw","paramlim_drop","rho_lower","rho_upper","bivar_p","n_pheno_returned","dropped_pheno"
1,1,10539,1376204,TRUE,201,1421,0.000318125,0.000303989,0.0172513,8.37358e-06,TRUE,0.132318,0.132318,FALSE,-0.56259,0.80345,0.637855,2,NA
2,1,1376205,2215495,TRUE,171,1235,NA,0.000109619,NA,0.0285589,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
3,1,2215496,2983519,TRUE,289,1560,0.000709343,0.000410497,7.71154e-05,2.88982e-07,TRUE,-0.134695,-0.134695,FALSE,-0.60897,0.25016,0.49362,2,NA
4,1,2983520,3582047,TRUE,334,1544,NA,8.62382e-05,NA,0.13246,FALSE,NA,NA,NA,NA,NA,NA,1,"MDD_noUKB"
5,1,3582048,4281476,TRUE,264,1882,0.000114331,0.000305538,0.237036,3.4496e-05,FALSE,NA,NA,NA,NA,NA,NA,2,NA
6,1,4281477,4773403,TRUE,272,1915,8.90473e-05,0.000161741,0.288288,0.0120222,FALSE,NA,NA,NA,NA,NA,NA,2,NA
7,1,4773404,5362404,TRUE,328,1796,0.000319854,0.00031441,0.0429667,7.47885e-05,TRUE,-0.328939,-0.328939,FALSE,-1,0.30865,0.300087,2,NA
8,1,5362405,6136814,TRUE,318,1860,0.00015213,0.000224232,0.195027,0.00235567,FALSE,NA,NA,NA,NA,NA,NA,2,NA
9,1,6136815,7711794,TRUE,500,3244,0.000520393,0.000306094,0.012565,0.000974599,TRUE,-0.314559,-0.314559,FALSE,-1,0.2658,0.293567,2,NA
10,1,7711795,8580987,TRUE,272,1862,0.000325821,7.55094e-05,0.0283007,0.134425,FALSE,NA,NA,NA,NA,NA,NA,2,NA
11,1,8580988,9475966,TRUE,359,1757,0.000645396,0.000191312,0.000736374,0.00995445,TRUE,-0.306115,-0.306115,FALSE,-1,0.27255,0.299191,2,NA
12,1,9475967,10753427,TRUE,294,2147,0.000170901,0.00021386,0.159947,0.00265636,FALSE,NA,NA,NA,NA,NA,NA,2,NA
13,1,10753428,11709173,TRUE,333,2003,0.000218458,0.000196783,0.120276,0.010326,FALSE,NA,NA,NA,NA,NA,NA,2,NA
14,1,11709174,13481025,TRUE,366,2534,0.000300967,0.000210395,0.0629788,0.00665225,FALSE,NA,NA,NA,NA,NA,NA,2,NA
